Region,Product,Sales,Profit,Growth_Rate,Return_Rate
East,Product-03,13412.52,3204.96,0.111,0.154
East,Product-02,5507.24,7372.89,0.151,0.103
South,Product-06,7809.42,17358.51,0.071,0.20900000000000002
South,Product-02,26313.66,9782.44,0.0,0.154
East,Product-04,4697.77,13019.63,0.136,0.091
South,Product-05,3081.6,11435.98,0.0,0.26
North,Product-06,11484.88,14524.11,0.105,0.1
South,Product-01,6323.36,11256.1,0.015,0.251
East,Product-04,8889.37,11768.51,0.08,0.164
North,Product-06,4234.94,9111.37,0.0,0.075
Central,Product-03,4641.28,17867.57,0.094,0.156
Central,Product-04,7016.74,12608.15,0.247,0.055
Central,Product-07,15016.32,10259.35,0.139,0.08
North,Product-03,1854.14,2820.95,0.216,0.093
South,Product-05,4517.88,13436.55,0.083,0.178
North,Product-02,3249.93,17994.86,0.067,0.071
Central,Product-03,22152.69,8151.78,0.035,0.223
East,Product-02,4917.11,9463.23,0.059,0.179
North,Product-04,11434.24,9358.57,0.115,0.069
North,Product-03,5321.4,6533.95,0.044,0.118
East,Product-06,6350.84,14290.41,0.023,0.116
Central,Product-08,13669.96,8968.41,0.0,0.056
East,Product-01,5370.5,13576.49,0.074,0.052
South,Product-05,3193.62,12390.46,0.026999999999999996,0.19
Central,Product-04,2417.15,15657.66,0.201,0.031
South,Product-01,12690.72,17203.49,0.0,0.112
South,Product-04,7601.95,12409.7,0.06999999999999999,0.262
East,Product-05,10131.24,11944.29,0.18,0.0
South,Product-02,19247.64,15849.27,0.0,0.311
South,Product-03,6643.65,23093.27,0.16799999999999998,0.184
East,Product-05,10652.43,12121.55,0.038,0.082
East,Product-03,13870.53,14513.65,0.069,0.0
Central,Product-07,27407.45,21046.86,0.232,0.196
East,Product-04,10093.05,17565.54,0.243,0.104
Central,Product-04,5129.61,16727.38,0.086,0.065
South,Product-01,13284.42,13083.76,0.079,0.29100000000000004
North,Product-01,6395.91,15484.2,0.059,0.06
East,Product-04,2677.72,12545.2,0.154,0.104
North,Product-05,8388.14,9557.52,0.09,0.117
Central,Product-07,7839.56,17391.19,0.062,0.198
South,Product-04,14067.14,11101.99,0.020000000000000004,0.28200000000000003
East,Product-06,4838.81,22234.24,0.111,0.188
East,Product-06,10545.71,13649.18,0.026,0.0
North,Product-05,12353.47,15400.76,0.115,0.137
North,Product-06,7383.97,17685.5,0.093,0.012
North,Product-06,3896.6,13001.45,0.084,0.125
East,Product-06,20261.89,15593.98,0.173,0.04
East,Product-03,2090.58,15333.47,0.183,0.14
