Campaign,Category,Orders,Revenue,Discount_Rate,Margin
Campaign-02,Category-03,269,7006.66,0.051,0.075
Campaign-05,Category-08,485,7862.95,0.165,0.0
Campaign-02,Category-02,135,5890.22,0.084,0.165
Campaign-06,Category-05,429,7622.31,0.125,0.035
Campaign-07,Category-01,272,5591.1,0.081,0.184
Campaign-02,Category-02,110,9368.44,0.033,0.17
Campaign-05,Category-07,315,8636.92,0.137,0.047
Campaign-06,Category-01,412,2996.98,0.13,0.177
Campaign-01,Category-03,401,10740.25,0.18,0.141
Campaign-01,Category-08,231,4939.5,0.18,0.049
Campaign-07,Category-03,77,8171.3,0.243,0.13
Campaign-04,Category-05,462,8939.84,0.012,0.1
Campaign-04,Category-03,351,22979.14,0.148,0.0
Campaign-05,Category-03,290,7636.21,0.224,0.19
Campaign-07,Category-02,118,6646.17,0.145,0.188
Campaign-05,Category-07,333,8784.97,0.216,0.078
Campaign-07,Category-02,427,11416.11,0.094,0.171
Campaign-08,Category-06,400,7968.97,0.12100000000000001,0.141
Campaign-06,Category-01,208,14364.07,0.092,0.103
Campaign-07,Category-06,202,9941.6,0.107,0.037
Campaign-03,Category-05,218,14502.14,0.198,0.175
Campaign-03,Category-01,139,27403.15,0.139,0.177
Campaign-07,Category-01,137,2353.19,0.028,0.17
Campaign-03,Category-04,388,44530.35,0.129,0.201
Campaign-08,Category-03,94,8920.64,0.198,0.176
Campaign-06,Category-08,464,8832.69,0.186,0.197
Campaign-02,Category-07,372,4073.54,0.111,0.136
Campaign-01,Category-04,79,5349.39,0.078,0.237
Campaign-05,Category-06,41,9410.61,0.142,0.0
Campaign-02,Category-08,170,2588.48,0.195,0.105
Campaign-08,Category-04,169,8803.38,0.198,0.109
Campaign-01,Category-01,201,10348.48,0.131,0.107
Campaign-05,Category-03,197,6976.0,0.125,0.151
Campaign-06,Category-02,157,13713.19,0.06,0.272
Campaign-04,Category-03,302,3381.96,0.097,0.165
Campaign-03,Category-06,29,4242.91,0.105,0.218
Campaign-06,Category-02,357,3747.66,0.138,0.043
Campaign-03,Category-08,92,7332.42,0.0,0.193
Campaign-04,Category-06,28,3357.65,0.14,0.21
Campaign-04,Category-08,124,7095.25,0.151,0.131
