Channel,Segment,Spend,Leads,Revenue,ROAS
Social,HighValue,3993.99,100,8038.87,3.166
Email,New,3548.83,160,4888.17,1.883
Partner,New,6129.54,402,5249.81,1.892
Search,New,2055.32,232,10703.41,3.949
Social,HighValue,2111.05,53,10537.02,1.621
Partner,Core,1440.18,178,19151.43,2.716
Social,Core,2446.33,294,11512.0,3.334
Search,New,1423.27,79,7277.4,1.953
Search,HighValue,2393.82,378,4967.7,3.13
Display,New,981.48,393,7362.56,2.168
Social,HighValue,4096.2,405,13216.56,2.851
Partner,New,2154.27,46,13945.04,5.158
Social,HighValue,1386.36,393,14825.77,3.572
Social,New,940.65,148,12085.93,3.097
Partner,HighValue,2082.98,281,4167.78,3.364
Display,HighValue,1947.99,42,5080.36,2.114
Display,HighValue,2865.23,300,10088.13,3.001
Search,HighValue,1609.95,323,12232.8,2.582
Display,New,6770.06,138,8615.41,1.925
Email,New,1556.38,29,3377.4,3.098
Partner,Core,4840.95,489,4302.98,2.85
Email,Core,1553.26,372,9036.02,2.154
Email,Core,1891.59,58,6290.25,1.991
Email,HighValue,677.67,455,4813.39,3.052
Display,New,1557.11,349,12487.81,2.194
Search,New,2888.54,412,7695.45,1.023
Email,Core,1339.52,163,8820.84,2.174
Partner,New,3416.52,179,5528.65,3.469
Partner,Core,1825.88,264,4498.52,2.994
Display,Core,1695.77,302,15409.49,1.576
Social,New,1839.08,436,11151.08,2.711
Search,New,1858.38,455,2364.32,2.477
Social,HighValue,2783.34,88,9104.13,3.759
Search,Core,1398.69,423,17156.58,2.251
Search,New,997.68,136,1165.49,2.476
Social,HighValue,4511.37,384,8408.72,0.581
Email,HighValue,2049.78,302,7380.81,2.094
Display,New,1416.71,219,5886.12,3.752
Email,HighValue,1566.39,317,15312.01,1.574
Display,Core,2437.23,244,5590.26,1.707
Social,New,1405.24,94,3930.69,4.144
Email,HighValue,3078.49,472,6850.01,2.717
Display,HighValue,1180.92,406,20272.03,2.592
Partner,HighValue,1947.03,377,25746.1,2.267
Search,New,953.08,399,11872.19,2.416
Partner,New,2307.18,439,10967.66,2.6
Social,Core,1945.72,99,16300.42,2.146
Search,HighValue,2404.34,202,3304.82,3.338
Email,New,1288.48,491,10149.02,2.53
Search,New,997.84,152,13404.85,1.994
Search,New,1592.84,81,5327.45,3.092
Partner,HighValue,1073.06,226,6436.11,3.159
Search,New,2386.72,318,10305.79,3.021
Email,HighValue,3094.69,433,12017.3,2.128
Display,Core,1419.47,487,6353.01,2.679
Email,Core,697.1,316,6778.64,1.671
Social,HighValue,1460.35,155,5581.12,3.921
Display,HighValue,4154.93,234,4811.21,5.36
Display,HighValue,1376.84,265,5123.42,3.039
Social,New,2462.0,366,4206.17,3.036
Search,HighValue,2252.47,387,11419.74,1.948
Email,Core,2044.83,339,4734.44,2.583
Display,New,2975.05,357,4585.64,1.45
Email,Core,1135.86,490,14351.02,1.657
Partner,New,1606.94,217,6104.65,1.755
Search,Core,2054.56,404,11454.42,3.261
Social,HighValue,803.72,274,14337.87,0.543
Email,HighValue,1375.11,498,6446.05,3.225
Search,HighValue,1710.09,123,5386.65,2.887
Email,New,2290.86,138,14186.08,4.098
Search,New,1127.98,315,12338.53,0.0
Partner,New,2177.59,485,5466.21,2.513
Partner,Core,913.28,195,7266.15,2.861
Email,New,1138.54,157,6297.15,2.176
Display,New,2019.99,238,8749.81,3.307
Search,HighValue,1745.09,372,7261.92,3.366
Partner,New,2851.86,133,4973.58,2.387
Display,New,1200.51,121,9821.59,2.282
Search,New,2735.25,185,5616.14,3.852
Display,HighValue,3365.81,255,15536.85,1.334
Social,New,2247.2,169,4459.73,3.178
Social,New,1064.49,135,6079.02,1.501
Email,HighValue,2159.27,349,8229.73,2.773
Partner,HighValue,2331.12,183,5960.55,0.257
Social,New,2274.29,485,15105.84,3.451
Social,HighValue,761.82,74,17595.57,2.434
Display,HighValue,1395.06,23,8344.44,2.259
Social,New,2532.45,56,4102.04,4.205
Partner,New,1129.91,169,4536.62,1.879
Partner,New,1452.13,330,3836.99,2.987
Partner,New,1872.53,275,7038.49,2.251
Email,Core,3215.66,110,3158.42,3.158
Email,Core,3508.24,315,10508.4,0.922
Search,Core,2005.13,203,11752.33,3.457
Email,Core,1102.05,198,11748.06,1.381
Search,Core,1687.84,356,5145.61,2.358
Display,New,1600.61,208,9264.35,1.832
Email,Core,3402.26,499,16336.13,2.076
Partner,HighValue,810.67,23,20257.46,2.38
Social,New,2923.78,393,5474.84,3.358
Display,New,1484.89,149,11243.07,2.662
Display,New,1146.63,315,8951.75,3.093
Email,New,2352.28,440,3196.13,3.151
Email,HighValue,3535.85,130,17353.38,4.253
Social,Core,2543.88,98,5509.22,2.633
Social,New,2434.44,250,21576.17,2.43
Display,New,3106.26,62,8085.73,3.291
Partner,New,5379.57,208,10263.18,3.231
Email,HighValue,1631.33,489,12449.41,3.765
Display,New,1922.43,125,5558.12,3.75
Display,HighValue,1567.24,324,6232.75,2.558
