Branch,Orders,Revenue,Rating,Complaint_Rate,Service_Time
Branch-02,149,6788.29,3.95,0.1,21.82
Branch-06,321,3220.27,3.88,0.195,21.47
Branch-08,215,25012.39,2.76,0.191,3.4290000000000003
Branch-03,375,3105.74,5.0,0.098,22.98
Branch-02,209,2479.79,4.54,0.154,17.35
Branch-08,289,9419.09,3.1,0.182,34.992000000000004
Branch-08,313,8826.44,3.76,0.30100000000000005,27.2025
Branch-02,346,7921.7,3.75,0.16,18.99
Branch-01,263,3478.15,3.96,0.109,23.18
Branch-04,68,34359.37,3.68,0.118,30.62
Branch-06,402,9398.55,4.95,0.001,1.0
Branch-08,211,3305.21,3.6500000000000004,0.14200000000000002,46.210499999999996
Branch-04,434,8788.59,3.3,0.071,4.62
Branch-03,390,12502.46,3.44,0.086,11.23
Branch-07,342,4188.98,4.13,0.053,25.58
Branch-06,379,7645.23,3.85,0.094,19.31
Branch-04,255,11399.61,4.66,0.108,15.86
Branch-02,491,10171.9,3.81,0.058,7.25
Branch-05,166,13323.78,3.39,0.117,18.37
Branch-01,206,11121.99,3.99,0.195,25.91
Branch-04,185,16003.74,4.1,0.247,19.38
Branch-01,384,20948.07,3.19,0.0,24.69
Branch-02,124,28737.96,3.48,0.149,12.23
Branch-07,457,8326.4,3.93,0.061,17.02
Branch-03,278,4178.79,3.48,0.063,15.6
Branch-06,140,13242.5,3.64,0.14,20.99
Branch-03,484,6363.55,3.88,0.101,21.65
Branch-03,198,4857.53,3.63,0.136,17.71
Branch-04,223,25789.16,4.69,0.094,14.91
Branch-03,128,2818.71,4.06,0.175,34.37
Branch-06,258,15489.79,3.96,0.177,23.43
Branch-07,146,4483.68,4.52,0.075,5.37
Branch-01,151,7461.46,4.91,0.185,32.94
Branch-06,194,13981.89,3.69,0.18,18.67
Branch-08,494,11896.54,3.5999999999999996,0.29200000000000004,16.227
Branch-02,354,7592.02,3.89,0.128,25.45
Branch-07,78,19721.2,4.01,0.257,15.94
Branch-03,118,11966.74,3.09,0.127,17.7
Branch-06,435,7950.87,3.55,0.106,20.31
Branch-03,424,13944.99,3.91,0.149,12.96
Branch-01,162,3792.59,4.13,0.035,19.07
Branch-02,356,5338.04,4.47,0.102,40.17
Branch-04,128,6713.09,3.61,0.161,14.39
Branch-07,29,7459.73,4.24,0.151,15.74
Branch-02,238,11947.94,4.26,0.169,15.01
Branch-06,273,13203.0,3.28,0.048,26.96
Branch-01,422,6450.57,3.28,0.202,2.78
Branch-02,408,3264.63,4.11,0.074,4.78
Branch-03,430,12783.86,3.34,0.213,23.23
Branch-04,124,13732.56,4.38,0.2,17.44
Branch-05,459,8164.56,3.66,0.089,19.08
Branch-04,234,6909.47,3.82,0.101,9.3
Branch-01,400,7026.44,4.91,0.137,9.71
Branch-01,425,9809.61,4.5,0.085,23.0
Branch-02,304,18525.41,4.53,0.202,14.71
Branch-03,491,9183.53,4.07,0.088,32.31
Branch-02,177,30703.36,3.05,0.066,7.56
Branch-08,139,18664.4,3.66,0.14800000000000002,18.090000000000003
Branch-04,494,3912.02,3.72,0.044,19.64
Branch-07,329,2898.62,3.73,0.151,14.56
Branch-02,33,8069.31,3.73,0.11,25.72
Branch-02,237,15142.59,4.06,0.056,19.44
Branch-03,245,5083.54,4.1,0.081,14.14
Branch-01,214,4663.35,3.92,0.0,14.51
Branch-03,362,13495.45,4.23,0.113,23.8
Branch-02,292,5481.86,3.52,0.172,24.49
Branch-04,221,11278.5,3.76,0.1,18.62
Branch-05,170,5314.96,4.56,0.247,15.95
Branch-01,187,11197.01,3.48,0.134,13.47
Branch-07,382,22090.0,3.85,0.231,28.55
Branch-05,172,3865.8,3.84,0.099,5.88
Branch-08,348,5226.21,3.5999999999999996,0.23900000000000002,29.713500000000003
Branch-03,301,9162.67,3.93,0.02,36.65
Branch-07,212,5268.53,4.86,0.176,20.54
Branch-07,494,4529.6,3.16,0.126,24.78
Branch-02,420,4396.55,4.72,0.073,28.91
Branch-01,386,5806.65,4.08,0.055,12.54
Branch-01,405,9752.71,3.41,0.121,25.21
Branch-05,316,8974.76,3.24,0.0,12.82
Branch-08,105,10913.64,3.9299999999999997,0.124,20.763
Branch-04,57,3995.66,5.0,0.167,22.59
Branch-04,147,1559.38,4.02,0.07,21.47
Branch-04,98,12161.94,4.19,0.113,21.29
Branch-08,286,8497.08,3.04,0.20600000000000002,32.7645
Branch-07,435,11516.35,4.45,0.13,24.54
Branch-06,343,8038.79,3.71,0.111,7.83
Branch-07,101,16442.95,4.18,0.094,10.59
Branch-02,167,5916.07,3.93,0.132,23.59
Branch-06,38,9551.23,3.65,0.186,13.75
Branch-02,402,9680.16,3.6,0.128,20.47
Branch-07,80,16540.33,3.9,0.165,17.56
Branch-07,100,15757.58,3.83,0.092,28.53
Branch-08,263,8447.89,4.28,0.20400000000000001,41.3235
Branch-07,74,5142.36,2.58,0.127,20.06
Branch-04,317,4744.15,4.43,0.059,29.96
Branch-06,116,5716.14,4.44,0.1,12.98
Branch-05,383,14199.9,3.75,0.134,16.69
Branch-06,96,10510.97,3.87,0.261,27.81
Branch-03,406,4427.27,3.59,0.018,28.61
Branch-03,224,11301.13,4.18,0.128,9.4
Branch-07,180,12090.07,4.11,0.164,13.27
Branch-06,111,10694.66,5.0,0.05,34.52
Branch-07,51,6893.93,4.01,0.094,14.34
Branch-06,30,10138.02,4.8,0.074,16.77
Branch-05,24,5278.27,3.86,0.135,11.32
Branch-08,443,16077.35,3.84,0.26,25.9875
Branch-03,234,10189.73,3.98,0.063,30.52
Branch-01,257,2788.53,3.49,0.015,20.58
Branch-08,244,8385.98,3.26,0.241,1.35
Branch-01,193,2939.64,4.16,0.053,16.74
Branch-06,294,18771.42,4.18,0.14,21.8
Branch-08,50,13446.67,4.5,0.23,13.5405
Branch-01,104,13133.56,3.24,0.085,10.78
Branch-01,386,8859.36,4.09,0.154,22.47
Branch-05,153,12593.37,4.33,0.272,17.98
Branch-05,50,7226.73,2.55,0.151,15.62
Branch-07,158,6362.88,4.42,0.111,18.15
Branch-04,395,7472.73,4.76,0.175,25.67
Branch-03,304,8782.44,4.28,0.078,17.72
