Segment,Customers,Revenue,Repeat_Rate,Churn_Rate,Support_Tickets
New,91,6558.16,0.0,0.218,280
New,197,25417.4,0.026999999999999996,0.254,108
Core,450,8562.16,0.008,0.256,339
HighValue,293,22110.33,0.292,0.121,64
Core,312,10646.86,0.138,0.0,260
Core,285,15814.94,0.19,0.12,117
HighValue,348,10049.37,0.121,0.198,81
Core,64,7929.57,0.151,0.025,313
HighValue,488,2655.96,0.104,0.307,336
New,24,2875.5,0.08600000000000001,0.1,145
New,53,38827.51,0.14500000000000002,0.29700000000000004,426
HighValue,215,7318.77,0.112,0.174,392
HighValue,55,4051.55,0.164,0.189,180
New,229,4337.58,0.0,0.25,83
New,73,14535.8,0.0,0.28800000000000003,101
HighValue,273,6724.14,0.09,0.132,261
HighValue,144,12807.08,0.03,0.035,170
Core,348,13904.75,0.082,0.163,62
Core,163,5521.82,0.036,0.016,353
New,131,6349.5,0.054000000000000006,0.354,255
Core,458,4292.82,0.078,0.264,284
Core,113,7223.0,0.121,0.0,292
HighValue,352,4470.51,0.034,0.0,44
Core,149,5147.61,0.128,0.163,170
HighValue,222,6646.84,0.016,0.188,45
Core,496,9345.41,0.184,0.104,202
HighValue,447,42133.11,0.123,0.198,318
New,196,5092.71,0.0,0.25,152
Core,421,5311.13,0.046,0.288,267
Core,369,10773.97,0.044,0.159,43
HighValue,294,5502.46,0.136,0.114,484
New,35,8329.03,0.054000000000000006,0.1,341
HighValue,78,14144.21,0.088,0.05,67
New,331,3690.69,0.08900000000000001,0.315,54
HighValue,470,10411.32,0.146,0.103,284
New,187,9852.75,0.15899999999999997,0.123,441
New,236,6223.47,0.08700000000000001,0.261,326
Core,174,7503.5,0.041,0.0,409
Core,229,5450.21,0.191,0.128,166
Core,41,7113.67,0.29,0.193,315
HighValue,81,5456.88,0.249,0.117,71
HighValue,477,7317.58,0.144,0.159,42
New,294,4387.2,0.0,0.232,451
HighValue,79,20618.1,0.175,0.181,431
Core,74,22861.9,0.055,0.024,77
New,415,8199.66,0.127,0.247,369
HighValue,288,11857.44,0.054,0.117,216
New,39,5134.05,0.071,0.324,492
HighValue,129,7668.12,0.083,0.145,386
New,471,4462.06,0.16699999999999998,0.183,340
Core,254,4280.09,0.144,0.094,384
Core,233,6640.0,0.191,0.067,208
Core,284,10442.21,0.164,0.069,209
New,436,5759.89,0.05,0.273,54
HighValue,292,10118.35,0.279,0.034,50
Core,152,8333.31,0.209,0.167,290
New,55,6560.58,0.15300000000000002,0.202,144
HighValue,189,2958.15,0.159,0.102,279
Core,391,10694.5,0.133,0.111,227
HighValue,365,4349.95,0.154,0.228,271
New,432,11514.64,0.0,0.234,73
New,54,8143.16,0.0,0.233,355
HighValue,496,6335.64,0.167,0.151,152
New,236,8064.15,0.0,0.194,265
HighValue,187,11823.23,0.159,0.037,252
New,452,7890.29,0.079,0.29000000000000004,267
New,291,3642.28,0.0,0.196,29
HighValue,173,6028.5,0.142,0.064,160
New,169,2276.17,0.047,0.172,428
New,41,9046.46,0.112,0.232,230
HighValue,382,9081.96,0.147,0.124,24
New,460,21407.92,0.139,0.21000000000000002,389
New,148,8642.54,0.16199999999999998,0.246,146
Core,65,5115.04,0.049,0.147,108
Core,292,24847.57,0.006,0.051,296
New,138,5189.22,0.107,0.168,137
HighValue,62,11323.61,0.082,0.177,83
Core,44,18005.89,0.199,0.0,279
Core,47,10457.72,0.195,0.113,112
Core,366,7410.58,0.043,0.138,346
Core,460,8604.7,0.077,0.0,383
New,442,9042.88,0.084,0.173,140
HighValue,336,7867.49,0.227,0.12,319
HighValue,131,6824.37,0.214,0.016,171
New,115,11518.67,0.0,0.226,300
New,322,6134.43,0.023999999999999994,0.21000000000000002,139
HighValue,389,9999.51,0.226,0.16,186
Core,68,8194.39,0.086,0.13,99
Core,52,10677.12,0.031,0.052,77
New,187,8765.7,0.031,0.382,285
HighValue,376,7269.39,0.251,0.053,150
HighValue,237,18202.46,0.157,0.167,321
HighValue,50,5163.76,0.04,0.002,108
New,491,4746.63,0.0,0.188,83
Core,213,7013.73,0.006,0.119,433
New,329,12146.59,0.0,0.245,227
Core,214,17401.35,0.206,0.107,211
Core,212,5024.39,0.129,0.132,421
Core,381,6368.2,0.107,0.085,159
HighValue,214,11258.15,0.212,0.2,383
New,439,4220.69,0.017,0.137,487
Core,376,11285.72,0.032,0.065,20
Core,174,10375.76,0.078,0.068,495
HighValue,499,6591.49,0.118,0.161,435
HighValue,153,17762.53,0.024,0.187,104
New,250,11059.86,0.12000000000000001,0.275,185
Core,242,7876.2,0.112,0.101,294
Core,261,8321.82,0.162,0.0,139
Core,349,7816.23,0.121,0.216,313
New,342,9553.25,0.0,0.20900000000000002,193
Core,140,4866.27,0.088,0.034,47
HighValue,209,12268.63,0.09,0.039,121
Core,361,7479.4,0.112,0.123,227
HighValue,298,6162.38,0.1,0.095,395
Core,297,6298.48,0.123,0.14,250
New,49,12231.53,0.0,0.179,249
Core,306,2963.17,0.048,0.064,435
HighValue,73,14467.19,0.18,0.127,175
New,371,9030.31,0.0,0.265,68
Core,291,5033.91,0.047,0.188,404
HighValue,296,9156.39,0.239,0.145,367
Core,216,19870.33,0.147,0.149,219
New,470,20835.95,0.15499999999999997,0.224,235
New,418,8327.98,0.0,0.20700000000000002,113
New,343,6240.86,0.0,0.267,399
HighValue,203,4342.63,0.154,0.121,339
Core,96,8182.14,0.143,0.206,150
HighValue,378,9212.21,0.122,0.189,356
New,471,10653.37,0.06899999999999999,0.28500000000000003,181
HighValue,451,8554.61,0.236,0.096,310
Core,152,5376.15,0.087,0.131,58
HighValue,495,8277.25,0.199,0.153,295
New,260,7301.69,0.043,0.133,272
Core,293,6100.45,0.214,0.246,369
New,139,11325.92,0.0,0.174,47
HighValue,333,8712.81,0.204,0.0,473
HighValue,262,12991.69,0.143,0.0,31
HighValue,118,5040.83,0.266,0.061,112
Core,369,5517.17,0.163,0.132,276
Core,45,7159.41,0.073,0.058,257
New,93,9366.34,0.035,0.228,368
Core,384,15709.97,0.199,0.128,200
HighValue,99,3807.1,0.08,0.041,328
Core,384,4883.38,0.125,0.13,72
New,253,9419.47,0.0,0.224,408
Core,427,7035.45,0.105,0.047,449
Core,288,10717.2,0.044,0.118,310
Core,353,2965.64,0.141,0.127,232
HighValue,254,20875.44,0.0,0.011,488
Core,412,9201.73,0.05,0.08,450
New,499,3708.17,0.0,0.273,50
Core,262,10800.84,0.142,0.217,77
New,335,5285.37,0.06699999999999999,0.258,349
New,433,10955.15,0.105,0.197,191
Core,77,14600.78,0.292,0.056,141
New,285,15682.51,0.078,0.181,403
New,314,10020.37,0.0,0.385,202
New,324,4839.34,0.14500000000000002,0.10600000000000001,194
Core,274,11251.91,0.154,0.017,77
New,246,6562.51,0.09399999999999999,0.20900000000000002,236
Core,419,7973.28,0.057,0.0,90
New,418,5097.02,0.06799999999999999,0.20700000000000002,262
HighValue,225,20210.94,0.119,0.249,190
Core,71,11357.63,0.1,0.116,167
New,296,4236.02,0.006999999999999992,0.166,321
Core,227,13571.22,0.164,0.0,24
HighValue,36,8938.29,0.119,0.254,300
New,318,3691.48,0.0,0.255,223
Core,339,10657.44,0.274,0.085,349
HighValue,319,11879.87,0.172,0.023,58
Core,330,5863.6,0.094,0.144,261
