Department,Tenure_Band,Headcount,Turnover_Rate,Absence_Rate,Overtime_Hours
Department-04,Tenure Band-01,86,0.194,0.036,23.43
Department-03,Tenure Band-02,159,0.031,0.169,3.63
Department-01,Tenure Band-06,374,0.091,0.244,25.02
Department-06,Tenure Band-03,203,0.102,0.068,9.4
Department-03,Tenure Band-07,149,0.093,0.147,20.02
Department-01,Tenure Band-03,434,0.132,0.093,15.24
Department-03,Tenure Band-07,423,0.105,0.17,30.19
Department-07,Tenure Band-02,347,0.13,0.002,13.36
Department-04,Tenure Band-02,357,0.113,0.0,19.74
Department-02,Tenure Band-07,71,0.021,0.015,22.01
Department-05,Tenure Band-05,422,0.205,0.188,9.48
Department-01,Tenure Band-04,267,0.1,0.077,23.17
Department-07,Tenure Band-05,48,0.095,0.259,8.42
Department-01,Tenure Band-06,400,0.118,0.136,13.08
Department-08,Tenure Band-08,60,0.228,0.15000000000000002,20.66
Department-04,Tenure Band-06,289,0.151,0.126,24.42
Department-06,Tenure Band-01,168,0.278,0.081,31.46
Department-02,Tenure Band-04,301,0.129,0.208,21.94
Department-07,Tenure Band-08,342,0.155,0.116,21.29
Department-06,Tenure Band-02,225,0.212,0.151,21.83
Department-07,Tenure Band-04,408,0.24,0.096,24.22
Department-04,Tenure Band-02,494,0.283,0.145,37.26
Department-05,Tenure Band-02,458,0.217,0.178,23.97
Department-07,Tenure Band-05,58,0.099,0.161,31.11
Department-05,Tenure Band-04,241,0.0,0.168,9.7
Department-06,Tenure Band-06,214,0.177,0.047,22.79
Department-03,Tenure Band-01,387,0.162,0.059,19.89
Department-03,Tenure Band-05,435,0.14,0.153,18.09
Department-05,Tenure Band-03,94,0.216,0.144,19.25
Department-07,Tenure Band-06,471,0.108,0.28,2.26
Department-03,Tenure Band-06,119,0.106,0.19,21.53
Department-04,Tenure Band-06,369,0.114,0.146,18.01
Department-02,Tenure Band-03,46,0.233,0.115,24.08
Department-03,Tenure Band-05,268,0.035,0.056,26.9
Department-03,Tenure Band-07,75,0.133,0.174,15.05
Department-01,Tenure Band-08,175,0.239,0.102,24.22
Department-05,Tenure Band-08,238,0.098,0.058,1.0
Department-04,Tenure Band-06,167,0.117,0.115,32.52
Department-06,Tenure Band-08,230,0.053,0.041,31.73
Department-02,Tenure Band-06,387,0.194,0.07,14.82
Department-05,Tenure Band-08,45,0.204,0.214,19.9
Department-02,Tenure Band-08,341,0.134,0.18,38.0
Department-02,Tenure Band-02,150,0.139,0.14,18.67
Department-01,Tenure Band-02,323,0.068,0.064,11.85
Department-08,Tenure Band-03,275,0.132,0.175,16.65
Department-01,Tenure Band-02,80,0.175,0.141,20.76
Department-08,Tenure Band-02,323,0.181,0.30000000000000004,13.09
Department-07,Tenure Band-06,390,0.006,0.051,19.61
Department-04,Tenure Band-04,310,0.168,0.0,27.94
Department-08,Tenure Band-05,484,0.17099999999999999,0.326,16.75
Department-07,Tenure Band-07,288,0.096,0.161,18.45
Department-01,Tenure Band-05,69,0.248,0.181,19.13
Department-02,Tenure Band-07,421,0.0,0.087,25.56
Department-08,Tenure Band-06,175,0.2,0.21600000000000003,20.16
Department-01,Tenure Band-07,276,0.035,0.112,17.27
Department-07,Tenure Band-07,294,0.051,0.055,18.58
Department-08,Tenure Band-08,277,0.28700000000000003,0.316,31.73
Department-05,Tenure Band-01,24,0.001,0.21,22.67
Department-01,Tenure Band-01,130,0.179,0.191,26.24
Department-04,Tenure Band-08,375,0.209,0.105,1.0
