Route,Shipments,Revenue,Delay_Rate,Cost,Damage_Rate
Route-05,453,9240.11,0.089,2454.86,0.163
Route-01,109,3153.98,0.026,1839.3,0.062
Route-08,28,4071.06,0.224,2570.83,0.26
Route-07,123,2851.77,0.05,2449.0,0.289
Route-03,352,5689.26,0.0,4419.25,0.054
Route-05,409,5890.01,0.191,2292.08,0.167
Route-01,106,10639.32,0.242,1350.45,0.161
Route-07,192,5462.39,0.091,1372.09,0.243
Route-01,98,12947.45,0.093,2729.78,0.139
Route-03,235,7128.64,0.098,3259.84,0.077
Route-08,307,7260.14,0.246,2134.39,0.23900000000000002
Route-06,399,3425.04,0.077,1290.97,0.067
Route-02,469,4141.46,0.074,1475.65,0.088
Route-05,446,13083.74,0.022,1077.92,0.212
Route-06,45,7586.69,0.181,2363.33,0.084
Route-04,443,5807.57,0.08,1118.55,0.245
Route-06,306,6260.61,0.111,2379.43,0.159
Route-06,419,10668.13,0.122,2889.19,0.099
Route-03,187,5702.03,0.045,1291.07,0.024
Route-01,304,9115.28,0.204,1326.9,0.153
Route-04,272,13287.49,0.132,2168.39,0.177
Route-07,41,3444.83,0.135,864.85,0.065
Route-03,54,3926.14,0.034,3172.45,0.214
Route-08,22,7485.88,0.21100000000000002,1553.67,0.226
Route-05,271,3425.98,0.144,1855.51,0.022
Route-01,442,13336.2,0.121,2446.77,0.185
Route-05,459,4232.55,0.118,834.66,0.125
Route-02,119,14479.79,0.129,1653.49,0.147
Route-05,225,10099.69,0.064,1174.02,0.028
Route-03,300,10767.33,0.143,3659.2,0.124
Route-07,324,14652.08,0.123,3013.55,0.034
Route-06,76,5588.38,0.067,2679.36,0.0
Route-05,382,3786.82,0.05,1331.86,0.075
Route-01,282,8872.13,0.032,1930.72,0.145
Route-04,266,8486.66,0.045,2964.54,0.038
Route-06,476,4336.33,0.054,2171.25,0.152
Route-08,281,9379.88,0.20900000000000002,2374.75,0.173
Route-07,488,17035.26,0.129,2671.04,0.0
Route-06,386,5777.47,0.215,2431.21,0.061
Route-08,60,7937.26,0.34099999999999997,1844.31,0.1
Route-06,94,6526.14,0.099,1058.48,0.211
Route-08,490,15487.84,0.21600000000000003,1016.68,0.244
Route-08,90,8499.82,0.254,3577.17,0.26
Route-04,301,11985.94,0.096,1725.67,0.008
Route-06,46,2531.66,0.18,918.0,0.094
Route-01,34,5024.45,0.163,1759.81,0.179
Route-05,416,12103.74,0.176,2322.86,0.11
Route-06,454,6554.55,0.093,1975.98,0.111
Route-03,69,5153.93,0.149,1880.45,0.191
Route-03,487,3767.96,0.036,1620.76,0.252
Route-06,308,8030.79,0.15,2813.83,0.208
Route-07,402,4481.42,0.224,930.3,0.148
Route-05,211,4114.04,0.035,2099.97,0.156
Route-06,218,7776.04,0.262,1746.89,0.17
Route-05,317,5402.42,0.17,4514.5,0.069
Route-02,366,8014.06,0.196,1197.49,0.166
Route-01,435,10304.56,0.046,1251.76,0.143
Route-06,190,5928.23,0.163,2423.36,0.163
Route-05,316,5169.22,0.169,1923.97,0.24
Route-06,182,6273.93,0.089,915.39,0.0
Route-07,279,17206.88,0.094,2456.71,0.146
Route-04,421,14559.73,0.106,2257.39,0.04
Route-01,420,5062.43,0.194,1521.55,0.166
Route-02,450,8051.21,0.04,1140.03,0.056
Route-03,125,7949.19,0.014,5707.52,0.205
Route-07,303,9705.67,0.08,2208.6,0.075
Route-05,229,11725.72,0.095,2922.96,0.178
Route-01,155,6225.7,0.145,1206.9,0.178
Route-06,395,6888.13,0.02,3371.22,0.129
Route-04,239,9695.67,0.116,2775.88,0.099
Route-03,484,8544.37,0.156,3643.92,0.134
Route-05,447,9537.11,0.136,1440.46,0.042
Route-03,128,10480.96,0.198,2484.18,0.27
Route-07,40,16339.4,0.165,1538.39,0.063
