Plan,Segment,Subscribers,MRR,Churn_Rate,Usage_Index
Plan-08,New,205,13592.59,0.21200000000000002,26.4
Plan-08,Core,277,2348.52,0.232,17.43
Plan-06,HighValue,443,9662.58,0.137,9.36
Plan-08,Core,37,6469.95,0.168,16.16
Plan-03,New,332,10957.8,0.066,15.85
Plan-04,HighValue,385,11948.59,0.108,33.52
Plan-08,New,143,5173.65,0.21400000000000002,20.28
Plan-03,New,451,12406.6,0.026,18.24
Plan-03,New,85,5143.76,0.143,15.83
Plan-07,New,372,5281.03,0.084,23.97
Plan-07,New,469,7706.11,0.174,15.45
Plan-04,HighValue,346,5865.76,0.011,25.12
Plan-05,Core,474,5947.42,0.097,21.03
Plan-06,New,269,12839.93,0.167,24.02
Plan-04,HighValue,208,12825.79,0.149,13.27
Plan-07,HighValue,460,19064.96,0.119,12.07
Plan-08,New,310,4483.26,0.267,16.53
Plan-03,New,159,6675.71,0.189,31.4
Plan-08,HighValue,336,3750.46,0.10500000000000001,19.38
Plan-05,HighValue,277,9219.01,0.165,27.48
Plan-02,New,24,15404.38,0.139,14.08
Plan-01,Core,448,8255.86,0.162,29.88
Plan-05,New,386,6768.03,0.0,5.76
Plan-07,New,463,3503.43,0.109,6.36
Plan-03,HighValue,176,5619.77,0.079,30.28
Plan-06,Core,115,7943.83,0.102,17.12
Plan-07,New,484,6392.39,0.135,26.25
Plan-03,New,77,8490.6,0.012,25.09
Plan-06,HighValue,263,17678.01,0.095,7.81
Plan-04,HighValue,158,8213.57,0.043,4.66
Plan-07,New,118,14650.55,0.107,18.88
Plan-07,HighValue,204,11778.47,0.122,19.29
Plan-07,Core,396,11429.71,0.168,25.78
Plan-02,Core,294,10573.71,0.11,14.37
Plan-08,HighValue,186,7069.73,0.32,22.45
Plan-08,Core,271,13719.78,0.168,25.39
Plan-04,New,479,4564.42,0.114,16.43
Plan-08,HighValue,192,14400.26,0.255,11.54
Plan-02,Core,244,9071.26,0.204,17.15
Plan-05,HighValue,145,6204.65,0.047,5.12
Plan-07,Core,32,11926.84,0.123,21.93
Plan-08,Core,79,3987.21,0.192,17.11
Plan-01,Core,366,6120.66,0.191,23.8
Plan-01,Core,168,16818.5,0.028,18.69
Plan-04,Core,464,7151.67,0.253,22.51
Plan-03,HighValue,106,6965.61,0.168,33.25
Plan-08,Core,439,8140.64,0.271,30.2
Plan-06,New,378,10189.17,0.058,25.11
Plan-03,New,301,15069.81,0.131,26.68
Plan-04,Core,330,9266.46,0.212,8.17
Plan-02,Core,249,6313.86,0.087,9.69
Plan-01,New,237,6475.55,0.21,15.37
Plan-08,New,154,14338.89,0.1,34.87
Plan-05,New,419,14663.08,0.166,25.08
Plan-01,Core,240,16106.22,0.041,37.01
Plan-01,HighValue,235,4272.45,0.276,30.39
Plan-05,Core,315,25783.21,0.112,29.89
Plan-02,New,425,3875.15,0.031,26.55
Plan-08,New,108,20587.87,0.19,29.1
Plan-01,New,238,10094.57,0.237,16.33
Plan-03,HighValue,340,19891.53,0.083,25.08
Plan-04,HighValue,135,6113.86,0.233,16.44
Plan-06,HighValue,499,8922.57,0.076,22.55
Plan-04,Core,287,5433.65,0.116,29.81
Plan-01,HighValue,71,10896.8,0.058,13.89
Plan-03,Core,465,6939.75,0.128,17.47
Plan-01,New,497,7058.16,0.114,4.63
Plan-04,HighValue,335,14084.14,0.321,10.89
Plan-02,HighValue,53,17478.53,0.095,24.6
Plan-04,Core,106,6901.25,0.081,21.8
Plan-05,New,41,14459.35,0.0,22.55
Plan-06,Core,447,17564.98,0.077,10.63
Plan-08,HighValue,143,8025.36,0.124,19.4
Plan-07,Core,99,11374.4,0.171,18.18
Plan-07,HighValue,294,4656.36,0.259,30.25
Plan-01,HighValue,291,8543.65,0.061,14.93
Plan-02,HighValue,270,6483.11,0.148,34.0
Plan-05,New,143,5316.71,0.191,17.79
Plan-04,Core,440,9610.57,0.133,15.92
Plan-01,Core,446,6339.83,0.033,13.79
Plan-08,HighValue,448,5921.86,0.19,16.99
Plan-03,Core,190,5966.35,0.12,10.0
Plan-03,New,213,7650.12,0.185,10.0
Plan-01,HighValue,119,3909.77,0.244,30.18
Plan-03,HighValue,321,4133.68,0.127,11.81
Plan-05,New,98,6099.81,0.175,27.01
Plan-03,HighValue,420,14373.4,0.079,31.22
Plan-07,HighValue,158,8276.56,0.094,17.58
Plan-07,Core,450,9065.19,0.127,24.86
Plan-08,New,114,3638.0,0.151,22.19
Plan-08,Core,141,3846.19,0.20500000000000002,13.46
