Branch,Revenue,Profit,Growth_Rate,Complaint_Rate,Rating
Branch-02,2431.11,18313.91,0.178,0.058,3.96
Branch-04,12534.18,18192.07,0.173,0.167,3.58
Branch-04,18175.11,12280.54,0.193,0.124,4.73
Branch-04,1423.39,8453.75,0.115,0.025,4.28
Branch-04,15136.07,661.1,0.036,0.138,3.95
Branch-04,6154.79,16656.62,0.187,0.157,3.82
Branch-05,15692.5,23816.35,0.093,0.009,4.1
Branch-05,6527.13,10976.08,0.113,0.237,3.97
Branch-03,6397.62,13590.48,0.077,0.079,3.83
Branch-03,4008.35,14548.8,0.204,0.014,4.09
Branch-07,8954.83,12162.71,0.143,0.129,5.0
Branch-01,2440.26,8028.68,0.014,0.123,3.55
Branch-05,11034.17,14944.15,0.021,0.209,2.96
Branch-06,10441.67,10589.73,0.197,0.135,4.31
Branch-04,2394.69,16706.45,0.049,0.196,4.72
Branch-08,2548.78,11314.71,0.0,0.186,4.05
Branch-05,6703.56,8941.52,0.117,0.087,4.09
Branch-04,11138.46,1795.5,0.0,0.198,4.67
Branch-02,8000.2,13988.61,0.256,0.142,4.13
Branch-05,4544.22,12851.07,0.199,0.08,3.97
Branch-07,5086.68,19798.85,0.201,0.14,4.3
Branch-03,7406.0,8552.16,0.112,0.129,4.26
Branch-03,12288.31,18832.71,0.093,0.038,3.24
Branch-06,8520.56,10063.1,0.068,0.186,5.0
Branch-07,3478.02,17856.06,0.0,0.104,4.64
Branch-04,9132.47,14976.87,0.195,0.106,3.19
Branch-07,9027.36,13490.33,0.093,0.219,4.06
Branch-08,17675.58,10936.01,0.06000000000000001,0.202,2.68
Branch-01,14326.01,10904.52,0.131,0.09,3.96
Branch-03,8595.53,6700.92,0.09,0.113,3.97
Branch-08,9745.45,6729.65,0.044,0.28300000000000003,3.83
Branch-08,3849.9,2588.66,0.0,0.21600000000000003,3.15
Branch-01,12218.13,11314.6,0.115,0.193,5.0
Branch-05,7205.82,12709.91,0.063,0.087,3.69
Branch-04,5956.21,11094.17,0.012,0.017,4.5
Branch-06,16888.23,12304.61,0.137,0.206,3.96
Branch-03,6624.3,23645.79,0.156,0.252,4.33
Branch-06,6317.77,20899.31,0.091,0.012,4.83
Branch-01,11993.19,13000.17,0.103,0.149,3.78
Branch-01,16285.33,17696.62,0.06,0.056,3.69
Branch-01,16219.48,12008.68,0.012,0.174,4.14
Branch-04,6381.15,10592.78,0.107,0.124,3.97
Branch-02,12016.1,8049.74,0.152,0.212,4.18
Branch-06,7425.95,11518.43,0.21,0.175,3.42
Branch-02,4927.87,2744.92,0.158,0.226,3.61
Branch-05,5904.83,18993.18,0.11,0.052,4.14
Branch-08,5672.65,10743.06,0.0,0.1,2.72
Branch-07,7425.46,16867.41,0.19,0.227,5.0
Branch-07,3363.61,15885.24,0.124,0.211,4.02
Branch-05,1155.49,16952.53,0.072,0.201,4.65
Branch-02,3713.88,19769.11,0.066,0.094,3.7
Branch-03,10204.13,6587.07,0.167,0.117,4.43
Branch-04,15940.84,8428.53,0.165,0.209,2.32
Branch-07,5564.51,15758.94,0.129,0.088,4.29
Branch-04,13283.43,8619.11,0.072,0.083,2.79
Branch-02,15257.1,14899.69,0.108,0.042,4.29
Branch-03,13702.67,12662.05,0.161,0.094,3.8
Branch-02,5847.93,10835.56,0.167,0.126,4.23
Branch-08,6161.01,11484.37,0.017,0.29700000000000004,3.6399999999999997
Branch-08,5339.95,9983.1,0.048,0.29000000000000004,3.95
Branch-05,12040.36,15653.81,0.096,0.162,4.06
Branch-06,14454.61,13457.91,0.193,0.121,4.91
Branch-05,10492.17,13707.52,0.021,0.218,3.55
Branch-01,17058.82,14532.19,0.066,0.237,4.06
Branch-05,3550.38,9393.26,0.147,0.154,5.0
Branch-06,22085.19,18207.11,0.08,0.129,4.27
Branch-08,8999.2,16647.26,0.05900000000000001,0.184,3.9400000000000004
Branch-08,9610.93,6907.38,0.021000000000000005,0.28400000000000003,3.9299999999999997
Branch-06,6561.68,11531.26,0.0,0.021,3.43
Branch-05,16608.62,11606.46,0.062,0.027,3.8
Branch-08,9485.62,17066.97,0.24,0.14500000000000002,4.18
Branch-06,3989.51,18993.83,0.153,0.073,3.86
Branch-08,20545.08,4376.67,0.106,0.23500000000000001,3.08
Branch-01,11745.72,7215.43,0.158,0.177,4.74
Branch-07,12436.06,12352.66,0.161,0.071,4.18
Branch-02,5527.43,13836.16,0.15,0.12,4.42
Branch-03,4716.58,13932.58,0.05,0.063,3.59
Branch-07,11247.81,10310.25,0.111,0.154,4.52
Branch-07,6677.81,19321.81,0.062,0.126,4.55
Branch-04,11541.32,17928.63,0.031,0.14,3.85
Branch-02,23530.32,18351.66,0.08,0.08,4.45
Branch-06,8699.98,16662.75,0.086,0.164,4.03
Branch-01,7494.38,11162.48,0.147,0.108,3.58
Branch-05,7465.68,6583.54,0.218,0.111,4.33
Branch-06,20388.91,8817.2,0.068,0.149,4.07
Branch-03,12604.99,15332.52,0.071,0.149,4.13
Branch-06,14225.97,18709.66,0.044,0.044,3.8
Branch-03,4390.07,24616.47,0.038,0.178,2.96
Branch-07,5132.81,1909.6,0.043,0.0,3.21
Branch-02,4019.23,14467.5,0.145,0.0,4.49
Branch-06,4319.33,20322.31,0.068,0.148,3.63
Branch-01,10946.6,9002.29,0.086,0.108,3.84
Branch-02,7879.22,16964.58,0.075,0.227,3.23
Branch-01,7098.53,6158.39,0.187,0.1,3.79
Branch-08,6721.75,13496.57,0.05600000000000001,0.29400000000000004,2.69
Branch-01,10954.06,11413.59,0.119,0.091,4.15
Branch-06,3711.57,13067.17,0.253,0.159,4.08
Branch-08,19844.7,11202.02,0.05800000000000001,0.1,3.0
Branch-08,8037.77,13270.15,0.0,0.20400000000000001,3.38
Branch-08,6858.19,15460.44,0.06699999999999999,0.275,3.21
Branch-03,5784.74,20197.45,0.0,0.1,4.21
Branch-08,2995.62,8924.57,0.083,0.199,3.6799999999999997
Branch-05,18195.05,13738.64,0.156,0.0,3.74
Branch-06,8341.75,12758.55,0.179,0.0,3.69
Branch-01,6331.42,6974.09,0.112,0.096,3.85
Branch-04,5161.36,9646.43,0.077,0.09,4.1
