Center,Tickets,Resolved,Avg_Handle_Time,SLA_Breach_Rate,CSAT
Center-08,306,187,24.111,0.252,3.35
Center-02,266,446,23.39,0.114,3.9
Center-07,366,429,15.49,0.106,4.76
Center-03,115,81,28.43,0.07,4.85
Center-05,387,151,23.45,0.091,3.78
Center-06,227,472,8.98,0.233,3.42
Center-08,365,474,40.4055,0.10700000000000001,3.88
Center-05,492,309,26.03,0.213,4.53
Center-06,346,300,26.49,0.188,4.12
Center-07,251,436,10.38,0.131,4.38
Center-07,435,370,31.16,0.105,4.12
Center-07,104,391,27.27,0.178,3.74
Center-06,227,84,18.3,0.124,3.69
Center-01,98,271,15.65,0.154,4.3
Center-01,282,257,21.77,0.0,3.13
Center-02,413,443,27.26,0.237,4.58
Center-08,221,424,34.5735,0.1,3.24
Center-06,33,156,16.05,0.162,4.9
Center-06,135,230,16.04,0.171,4.95
Center-08,62,76,32.953500000000005,0.28,4.24
Center-07,57,158,20.93,0.088,4.23
Center-08,360,250,21.654,0.153,2.81
Center-06,91,308,30.04,0.159,4.45
Center-02,47,164,23.83,0.158,4.23
Center-02,237,252,23.26,0.0,3.76
Center-03,242,65,27.86,0.11,3.33
Center-07,88,116,29.72,0.119,3.48
Center-01,110,113,21.85,0.041,3.7
Center-06,377,203,9.26,0.06,3.33
Center-08,491,232,18.5895,0.28800000000000003,3.71
Center-08,197,210,28.89,0.162,3.58
Center-07,176,121,17.61,0.062,4.48
Center-03,418,367,39.66,0.21,4.95
Center-06,238,394,21.83,0.139,3.76
Center-05,380,138,37.49,0.265,4.36
Center-06,93,98,17.76,0.003,3.97
Center-01,125,255,11.73,0.171,5.0
Center-07,190,282,24.63,0.266,3.85
Center-06,272,453,38.2,0.129,4.79
Center-05,204,456,22.64,0.09,4.55
Center-03,190,494,10.55,0.17,3.98
Center-03,345,300,12.99,0.075,3.87
Center-05,204,290,25.83,0.13,3.86
Center-08,114,337,27.594000000000005,0.277,3.9000000000000004
Center-06,401,430,11.19,0.211,3.37
Center-03,136,268,14.74,0.145,2.45
Center-04,470,488,27.5,0.094,3.74
Center-01,247,68,26.73,0.194,3.87
Center-04,59,168,28.59,0.0,4.0
Center-03,370,233,26.69,0.146,3.79
Center-08,265,255,13.824000000000002,0.169,3.24
Center-06,117,235,2.85,0.16,3.5
Center-01,148,389,10.59,0.198,4.92
Center-04,158,204,18.2,0.116,3.86
Center-08,381,227,28.363500000000005,0.218,3.66
Center-02,465,467,20.28,0.162,4.04
Center-06,351,62,15.42,0.01,3.95
