Industry,Stage,Opportunities,Pipeline_Value,Win_Rate,Sales_Cycle_Days
Industry-06,Stage-06,94,11112.37,0.103,13.13
Industry-07,Stage-08,48,14331.06,0.013,15.37
Industry-04,Stage-07,288,4261.74,0.094,31.01
Industry-05,Stage-07,35,3720.5,0.183,18.08
Industry-07,Stage-07,184,9686.28,0.114,6.37
Industry-05,Stage-04,458,5886.74,0.025,19.55
Industry-06,Stage-04,100,13250.31,0.155,26.54
Industry-04,Stage-04,424,7341.58,0.083,18.51
Industry-02,Stage-07,84,6948.52,0.218,31.92
Industry-08,Stage-08,364,6597.89,0.047,21.8025
Industry-01,Stage-08,423,10613.83,0.134,30.61
Industry-06,Stage-03,325,10443.17,0.078,15.05
Industry-07,Stage-06,299,8404.43,0.089,17.1
Industry-08,Stage-01,177,4960.89,0.033,21.8025
Industry-01,Stage-02,185,3935.44,0.039,16.4
Industry-01,Stage-06,159,6708.13,0.216,28.69
Industry-06,Stage-08,121,6551.35,0.119,20.41
Industry-03,Stage-08,76,15562.4,0.197,26.06
Industry-02,Stage-04,470,8335.82,0.18,37.75
Industry-07,Stage-04,209,7250.42,0.283,22.49
Industry-08,Stage-06,107,5566.85,0.039999999999999994,33.885000000000005
Industry-03,Stage-01,89,11658.0,0.049,22.01
Industry-08,Stage-05,193,9293.34,0.033,25.866000000000003
Industry-03,Stage-01,461,4257.35,0.189,21.58
Industry-03,Stage-06,225,6842.35,0.228,21.57
Industry-05,Stage-04,289,10845.5,0.124,6.49
Industry-05,Stage-08,65,6227.42,0.135,11.84
Industry-06,Stage-04,370,5423.71,0.113,21.02
Industry-03,Stage-03,485,15466.87,0.104,15.92
Industry-01,Stage-04,400,7946.96,0.129,22.32
Industry-03,Stage-07,443,8284.0,0.254,13.7
Industry-05,Stage-02,211,7764.04,0.071,21.33
Industry-05,Stage-06,267,7245.5,0.146,17.12
Industry-01,Stage-01,106,23788.39,0.113,2.7
Industry-02,Stage-07,154,4907.73,0.146,17.74
Industry-03,Stage-02,211,6134.41,0.209,19.54
Industry-01,Stage-05,199,15819.75,0.09,16.52
Industry-06,Stage-03,266,3874.06,0.017,27.65
Industry-08,Stage-01,264,5507.3,0.082,34.1685
Industry-06,Stage-04,88,15702.68,0.169,25.27
Industry-03,Stage-02,473,12953.3,0.12,22.14
Industry-07,Stage-08,116,8350.79,0.041,27.49
Industry-03,Stage-03,133,12017.73,0.069,39.19
Industry-02,Stage-05,380,4398.87,0.088,18.84
Industry-01,Stage-03,116,6942.15,0.0,23.5
Industry-01,Stage-06,310,5751.67,0.038,38.89
Industry-05,Stage-02,117,21732.83,0.061,29.83
Industry-01,Stage-01,95,8998.68,0.199,15.64
Industry-07,Stage-04,488,4562.91,0.148,36.35
Industry-08,Stage-01,351,7673.42,0.12499999999999999,7.371
Industry-07,Stage-06,413,2157.37,0.021,12.65
Industry-04,Stage-06,274,8912.17,0.153,12.13
Industry-08,Stage-01,386,13788.89,0.082,39.37950000000001
Industry-04,Stage-01,129,18010.12,0.208,23.41
Industry-05,Stage-02,499,15115.32,0.279,22.5
Industry-08,Stage-05,190,5000.55,0.09699999999999999,43.308
Industry-01,Stage-01,491,7103.08,0.117,12.7
Industry-06,Stage-07,24,11223.01,0.204,15.12
Industry-01,Stage-05,162,15059.17,0.146,16.92
Industry-08,Stage-06,245,15262.28,0.133,29.929500000000004
Industry-01,Stage-07,95,6127.38,0.0,30.9
Industry-08,Stage-07,245,11996.37,0.022999999999999993,32.8995
Industry-06,Stage-06,369,13906.74,0.072,21.69
Industry-04,Stage-03,235,7549.45,0.156,19.67
Industry-03,Stage-03,338,11363.17,0.141,33.75
Industry-03,Stage-05,203,5777.26,0.115,14.11
Industry-03,Stage-01,346,18350.2,0.028,21.16
Industry-04,Stage-06,486,19109.79,0.054,3.37
Industry-07,Stage-07,354,3705.86,0.01,18.13
Industry-05,Stage-06,141,7902.38,0.152,16.09
Industry-05,Stage-02,198,5649.57,0.163,26.42
Industry-02,Stage-05,288,6075.18,0.146,18.52
Industry-07,Stage-01,242,13746.6,0.043,23.18
Industry-01,Stage-02,414,3887.94,0.099,26.9
Industry-03,Stage-01,34,5760.87,0.078,10.39
Industry-02,Stage-06,70,6375.22,0.114,14.85
Industry-07,Stage-02,47,7081.29,0.077,23.19
Industry-03,Stage-01,499,7704.35,0.031,27.58
Industry-02,Stage-08,387,3912.04,0.133,2.19
Industry-04,Stage-05,315,13743.43,0.266,24.07
Industry-01,Stage-05,325,15100.82,0.129,4.49
Industry-08,Stage-07,105,4782.46,0.021999999999999992,16.875
