Category,Stock_Value,Sales,Stockout_Rate,Days_On_Hand,Markdown_Rate
Category-08,16576.28,10325.59,0.229,23.31,0.219
Category-05,9308.3,4701.75,0.0,10.88,0.14
Category-01,14293.97,7194.78,0.162,8.67,0.164
Category-06,7035.01,8591.31,0.056,16.21,0.139
Category-01,8362.01,5411.49,0.148,33.85,0.139
Category-05,13855.64,7113.13,0.138,4.79,0.048
Category-04,18835.12,10762.39,0.089,14.3,0.045
Category-02,8353.75,9522.77,0.08,26.76,0.071
Category-04,6115.65,14181.53,0.082,19.97,0.168
Category-03,5030.05,3806.46,0.205,13.85,0.145
Category-03,9223.75,1993.92,0.208,16.81,0.284
Category-08,4233.64,11568.21,0.2,17.05,0.111
Category-05,4736.9,5810.09,0.066,14.59,0.123
Category-06,12516.03,4083.4,0.148,28.66,0.031
Category-08,11730.51,9089.3,0.258,15.94,0.181
Category-08,9084.89,5885.35,0.21700000000000003,37.15,0.251
Category-06,9525.74,9620.31,0.155,1.0,0.176
Category-01,8876.9,8804.97,0.068,20.38,0.072
Category-03,16142.1,8538.74,0.023,14.75,0.146
Category-05,19170.57,13668.56,0.068,6.79,0.0
Category-05,16677.44,9564.48,0.181,22.46,0.135
Category-08,5401.35,6430.88,0.316,15.65,0.21200000000000002
Category-02,4001.27,8918.9,0.09,4.36,0.166
Category-08,4087.17,11510.02,0.21700000000000003,18.4,0.313
Category-04,6502.94,7045.47,0.0,15.25,0.051
Category-08,9040.17,9964.14,0.271,17.21,0.178
Category-04,20095.76,2668.82,0.188,21.46,0.149
Category-06,11920.99,9862.41,0.101,16.09,0.089
Category-04,9650.88,8780.55,0.209,18.99,0.106
Category-02,9162.97,9875.01,0.076,29.33,0.094
Category-01,22585.43,9541.07,0.029,28.68,0.126
Category-02,27201.85,9459.47,0.115,2.59,0.175
Category-05,3721.86,4137.78,0.118,17.96,0.0
Category-08,15819.49,13137.34,0.182,14.82,0.381
Category-05,10949.68,7925.22,0.144,15.37,0.22
Category-07,10746.83,9301.88,0.097,10.43,0.0
Category-07,5117.86,2544.12,0.0,14.49,0.105
Category-02,20137.4,6551.57,0.064,23.22,0.082
Category-04,3822.21,8110.19,0.064,5.08,0.134
Category-08,7641.66,10677.23,0.29900000000000004,18.6,0.179
Category-05,10395.23,1592.57,0.059,40.05,0.154
Category-06,5277.04,6734.3,0.085,21.34,0.121
Category-04,5171.96,11715.13,0.0,2.33,0.052
Category-04,4936.85,9406.77,0.084,27.54,0.24
Category-07,5152.11,8493.72,0.117,24.1,0.101
Category-08,4749.7,8952.68,0.176,34.58,0.151
Category-01,7583.48,8539.5,0.164,12.6,0.092
Category-01,3962.96,20651.19,0.099,14.86,0.053
Category-08,8593.32,8352.54,0.122,23.49,0.20500000000000002
Category-05,4126.58,12126.41,0.208,31.49,0.0
Category-04,6931.57,3572.66,0.248,20.47,0.106
Category-07,40246.44,3941.98,0.017,16.34,0.049
Category-06,4502.64,7290.45,0.107,28.56,0.188
Category-02,10378.81,7513.46,0.0,19.87,0.203
Category-02,9438.14,10761.71,0.118,19.64,0.221
Category-07,9136.97,5555.87,0.171,20.9,0.178
Category-03,10310.88,20358.83,0.163,13.51,0.189
Category-05,17692.42,12182.91,0.123,19.47,0.0
Category-02,5275.34,18039.97,0.014,4.07,0.153
Category-06,9451.33,7471.31,0.227,21.73,0.128
Category-01,4499.56,11033.56,0.261,31.52,0.232
Category-05,20001.72,9591.08,0.027,14.64,0.032
Category-02,7688.85,7117.74,0.185,2.25,0.223
Category-02,15838.99,20069.11,0.078,10.24,0.107
Category-03,10067.88,10085.97,0.155,22.12,0.195
Category-06,11185.61,6285.38,0.145,30.3,0.044
Category-08,13286.6,18851.9,0.157,11.61,0.13
Category-01,5383.7,20972.7,0.157,12.01,0.163
Category-02,5015.16,14078.6,0.158,36.79,0.132
Category-07,13016.38,11296.45,0.141,2.78,0.177
Category-06,8467.8,6951.63,0.107,25.42,0.107
Category-03,6371.03,6339.93,0.135,25.82,0.247
Category-06,6364.04,6432.85,0.221,25.26,0.167
Category-04,7831.81,6857.08,0.173,11.73,0.109
Category-02,4606.02,5138.82,0.112,16.8,0.058
Category-08,2329.99,2443.04,0.28600000000000003,15.07,0.164
Category-07,7907.34,15451.36,0.003,3.64,0.141
Category-07,7753.31,5331.37,0.018,28.03,0.132
Category-03,11809.05,12943.47,0.071,22.88,0.207
Category-05,3557.0,13107.54,0.049,13.58,0.094
Category-04,9037.98,12935.04,0.171,1.33,0.015
Category-05,20794.38,5100.07,0.128,16.62,0.185
Category-04,8150.21,14984.06,0.113,26.18,0.172
Category-02,14826.18,7378.12,0.22,27.41,0.0
Category-01,11792.43,5813.47,0.078,29.53,0.049
Category-05,4839.89,10512.49,0.173,9.68,0.0
Category-01,6445.77,4680.02,0.245,6.75,0.109
Category-03,16368.87,22776.91,0.132,11.57,0.065
Category-08,4220.8,6482.3,0.25,30.58,0.308
Category-07,3921.04,2122.64,0.184,18.85,0.017
Category-08,8165.47,15861.32,0.319,26.42,0.17099999999999999
Category-01,2435.24,6223.69,0.137,23.45,0.129
Category-08,14362.17,4729.26,0.188,19.89,0.11
Category-07,12324.34,9771.34,0.133,21.03,0.264
Category-03,12373.89,7834.49,0.155,26.0,0.079
Category-07,13339.34,18040.67,0.154,17.4,0.108
Category-04,4242.08,11128.93,0.112,22.63,0.155
Category-04,14094.94,1860.09,0.17,21.46,0.217
Category-08,14963.85,10981.6,0.14900000000000002,23.39,0.21500000000000002
Category-08,7530.28,13980.21,0.19,19.65,0.21600000000000003
