Feature,Segment,Users,Adoption_Rate,Retention_Rate,Support_Issues
Feature-02,New,413,0.144,0.05,90.63
Feature-05,Core,141,0.076,0.154,160.81
Feature-08,New,133,0.0,0.09100000000000001,97.21
Feature-06,New,412,0.059,0.155,117.35
Feature-07,Core,394,0.152,0.068,82.41
Feature-01,Core,151,0.088,0.202,106.56
Feature-02,Core,457,0.097,0.148,100.57
Feature-02,HighValue,153,0.222,0.27,79.79
Feature-05,Core,132,0.052,0.12,126.12
Feature-02,Core,295,0.099,0.172,87.64
Feature-03,Core,245,0.243,0.186,113.59
Feature-07,HighValue,441,0.16,0.206,140.95
Feature-05,New,61,0.16,0.042,131.14
Feature-07,HighValue,313,0.208,0.116,100.37
Feature-01,HighValue,103,0.11,0.24,79.27
Feature-01,HighValue,118,0.098,0.096,89.79
Feature-01,Core,186,0.033,0.058,101.87
Feature-08,Core,387,0.06499999999999999,0.15999999999999998,54.16
Feature-01,Core,356,0.206,0.103,125.84
Feature-08,New,281,0.027999999999999997,0.09799999999999999,63.75
Feature-04,HighValue,333,0.035,0.146,138.39
Feature-06,Core,389,0.099,0.13,121.17
Feature-07,New,443,0.115,0.164,146.13
Feature-06,Core,110,0.165,0.079,106.11
Feature-01,New,169,0.211,0.036,43.49
Feature-08,HighValue,350,0.0,0.127,145.39
Feature-08,Core,331,0.131,0.0,96.09
Feature-01,HighValue,49,0.196,0.0,71.09
Feature-02,Core,47,0.056,0.105,78.24
Feature-01,Core,336,0.0,0.226,84.86
Feature-01,New,76,0.151,0.094,140.59
Feature-08,Core,96,0.06000000000000001,0.0,85.99
Feature-01,New,126,0.134,0.014,92.67
Feature-07,HighValue,117,0.144,0.14,98.82
Feature-08,HighValue,467,0.05,0.017,125.79
Feature-01,HighValue,299,0.134,0.164,59.9
Feature-02,Core,233,0.044,0.158,120.47
Feature-05,New,365,0.083,0.107,79.15
Feature-03,New,67,0.058,0.136,113.13
Feature-03,HighValue,346,0.093,0.207,96.43
Feature-07,HighValue,157,0.187,0.196,129.92
Feature-08,Core,470,0.0,0.052000000000000005,87.54
Feature-04,New,408,0.046,0.108,89.61
