Program,Participants,Completion_Rate,Satisfaction,Skill_Gain,Cost_Per_Learner
Program-01,124,0.221,3.6,0.222,2689.82
Program-05,278,0.171,4.27,0.116,1684.06
Program-07,143,0.115,3.49,0.259,2692.54
Program-06,199,0.175,3.34,0.1,1969.5
Program-05,447,0.05,3.4,0.0,2286.19
Program-04,261,0.197,3.65,0.165,2058.84
Program-07,90,0.072,4.82,0.269,2520.5
Program-04,31,0.057,3.56,0.083,3245.99
Program-02,289,0.121,4.71,0.178,919.12
Program-02,304,0.149,3.93,0.192,3275.44
Program-02,375,0.136,3.89,0.189,2254.7
Program-06,374,0.014,4.05,0.202,1508.68
Program-02,286,0.087,3.08,0.275,2359.17
Program-08,432,0.073,3.66,0.27,2409.68
Program-02,72,0.13,4.14,0.15,865.48
Program-03,43,0.08,3.25,0.173,2630.66
Program-02,25,0.192,5.0,0.046,3546.14
Program-07,156,0.197,3.67,0.222,1559.82
Program-01,176,0.278,4.6,0.222,1301.76
Program-08,121,0.036000000000000004,3.13,0.153,4204.52
Program-08,450,0.035,2.59,0.294,4224.87
Program-03,61,0.185,3.37,0.252,743.6
Program-02,362,0.072,4.34,0.201,4949.7
Program-03,386,0.133,3.7,0.233,1385.56
Program-02,215,0.126,4.41,0.079,2793.4
Program-04,358,0.063,4.66,0.289,1021.22
Program-01,149,0.099,4.37,0.197,1197.89
Program-07,150,0.079,4.05,0.216,4934.23
Program-04,53,0.097,4.07,0.21,2973.01
Program-08,181,0.06799999999999999,3.71,0.206,2137.77
Program-08,126,0.06799999999999999,2.61,0.293,2097.09
Program-04,88,0.165,4.75,0.113,2341.76
Program-02,438,0.138,3.95,0.221,2473.54
Program-03,456,0.102,3.67,0.168,3832.19
Program-04,175,0.227,3.79,0.134,297.31
Program-02,126,0.203,3.78,0.196,572.29
Program-04,440,0.071,3.89,0.076,1578.97
Program-08,181,0.023999999999999994,2.52,0.145,1059.54
Program-02,180,0.065,3.41,0.108,1238.7
