Claim_Type,Region,Claims,Avg_Cost,Cycle_Time,Reopen_Rate
Claim Type-06,South,305,3419.54,12.61,0.14
Claim Type-02,East,344,766.67,19.1,0.08
Claim Type-02,East,214,1838.29,26.31,0.234
Claim Type-07,North,132,1746.16,26.58,0.247
Claim Type-02,Central,437,1379.05,17.62,0.024
Claim Type-03,North,362,1455.77,20.5,0.227
Claim Type-02,East,466,2373.09,25.16,0.168
Claim Type-01,Central,261,2566.84,11.48,0.16
Claim Type-03,North,482,3384.61,24.29,0.109
Claim Type-06,South,98,1244.76,21.11,0.189
Claim Type-04,Central,144,2550.04,33.01,0.188
Claim Type-07,North,411,1365.63,23.83,0.144
Claim Type-05,Central,34,1099.33,15.23,0.081
Claim Type-01,East,23,1610.16,22.66,0.103
Claim Type-08,Central,402,1026.95,40.365,0.23800000000000002
Claim Type-04,North,463,1203.14,11.05,0.122
Claim Type-01,East,162,1464.85,15.55,0.036
Claim Type-04,South,158,1688.29,24.85,0.12
Claim Type-07,North,172,3551.0,3.01,0.138
Claim Type-07,South,235,2900.76,23.03,0.188
Claim Type-03,South,419,800.79,17.39,0.111
Claim Type-05,Central,72,1532.68,24.79,0.148
Claim Type-01,South,380,4237.42,24.4,0.092
Claim Type-01,Central,100,3362.05,20.08,0.152
Claim Type-02,South,364,1568.47,18.35,0.144
Claim Type-02,North,287,1446.73,26.6,0.065
Claim Type-02,South,121,2048.29,22.48,0.039
Claim Type-04,Central,80,928.95,22.04,0.053
Claim Type-05,Central,65,2434.33,7.2,0.021
Claim Type-01,North,90,1380.36,11.52,0.231
Claim Type-04,North,367,2233.28,21.57,0.111
Claim Type-08,Central,425,1295.13,25.015500000000003,0.1
Claim Type-04,North,116,2749.76,25.52,0.188
Claim Type-05,North,113,1610.93,12.57,0.114
Claim Type-07,East,129,2919.42,12.76,0.2
Claim Type-04,East,57,1761.28,20.5,0.035
Claim Type-04,South,130,1016.65,15.14,0.064
Claim Type-04,East,57,2020.31,15.69,0.005
Claim Type-04,South,189,1431.56,29.57,0.137
Claim Type-03,South,210,794.02,21.82,0.089
Claim Type-03,Central,340,1579.86,8.91,0.118
Claim Type-03,North,183,831.88,32.67,0.097
Claim Type-04,Central,454,2512.36,30.33,0.08
Claim Type-01,Central,418,5866.92,13.94,0.063
Claim Type-08,South,469,913.85,31.8195,0.264
Claim Type-08,Central,57,812.17,36.153000000000006,0.14700000000000002
Claim Type-01,Central,314,2024.59,23.06,0.072
Claim Type-04,North,21,2968.83,17.4,0.071
Claim Type-07,East,269,1468.85,1.5,0.096
Claim Type-08,East,290,2019.11,21.559500000000003,0.179
Claim Type-05,Central,139,1157.62,10.39,0.085
Claim Type-02,North,460,3912.86,7.1,0.225
Claim Type-01,East,260,5164.41,21.35,0.184
Claim Type-03,Central,297,3968.69,25.26,0.203
Claim Type-06,Central,137,3028.49,6.82,0.112
Claim Type-04,South,122,1757.02,13.87,0.14
Claim Type-05,North,28,966.96,29.88,0.178
Claim Type-07,South,112,1714.8,27.91,0.156
Claim Type-06,North,258,937.0,12.42,0.104
Claim Type-01,Central,457,2198.57,29.8,0.24
Claim Type-03,South,242,1238.11,26.07,0.182
Claim Type-01,Central,349,2174.12,36.24,0.207
Claim Type-07,North,63,1459.52,13.06,0.151
Claim Type-07,North,118,2884.43,25.47,0.286
Claim Type-01,South,44,1107.66,16.33,0.204
Claim Type-05,East,275,2299.24,20.22,0.16
Claim Type-03,North,355,964.59,26.59,0.194
Claim Type-08,East,435,2355.88,16.456500000000002,0.313
Claim Type-07,North,203,1399.8,32.25,0.157
Claim Type-07,South,402,2271.23,8.53,0.077
Claim Type-05,North,348,757.35,29.13,0.105
Claim Type-06,Central,28,2275.45,26.31,0.074
Claim Type-03,North,346,1535.47,12.04,0.107
Claim Type-06,East,489,1900.67,23.94,0.015
Claim Type-06,East,287,1796.63,10.39,0.065
Claim Type-01,North,98,4662.1,13.3,0.077
Claim Type-01,Central,388,2869.57,36.57,0.204
Claim Type-03,North,425,2366.56,26.35,0.065
Claim Type-07,East,70,1443.84,11.26,0.155
Claim Type-03,North,274,2149.6,5.88,0.0
Claim Type-08,North,266,1374.43,19.737000000000002,0.136
Claim Type-01,East,452,1794.65,26.65,0.072
Claim Type-03,Central,37,1002.43,11.87,0.155
Claim Type-07,South,394,2213.24,2.42,0.0
Claim Type-07,Central,61,1386.29,6.51,0.051
Claim Type-01,Central,353,869.79,26.48,0.0
Claim Type-04,North,258,1535.91,10.11,0.09
Claim Type-02,East,243,1604.68,3.34,0.157
Claim Type-05,East,402,1504.3,27.83,0.198
Claim Type-06,North,416,995.14,11.7,0.021
Claim Type-01,Central,39,1635.36,31.11,0.172
Claim Type-08,Central,418,2824.86,25.029,0.186
Claim Type-04,North,45,2187.69,20.05,0.254
Claim Type-07,East,248,3443.28,5.91,0.056
Claim Type-06,North,274,1116.91,23.46,0.12
Claim Type-03,Central,396,1608.97,25.0,0.122
Claim Type-08,North,290,3525.17,11.8665,0.334
Claim Type-05,South,382,1429.46,30.56,0.247
Claim Type-02,East,273,1956.25,15.1,0.095
Claim Type-05,North,418,1043.1,17.87,0.109
Claim Type-03,South,256,2779.79,24.51,0.24
Claim Type-04,North,181,1623.86,9.4,0.187
Claim Type-03,North,178,5379.76,19.37,0.018
Claim Type-07,Central,345,2860.38,24.34,0.018
Claim Type-02,North,67,391.99,26.26,0.095
Claim Type-02,North,279,1582.3,13.8,0.149
Claim Type-05,East,77,1574.58,26.88,0.12
