Service_Line,Visits,Revenue,Wait_Time,No_Show_Rate,Satisfaction
Service Line-05,332,10735.27,30.81,0.194,3.9
Service Line-05,282,13919.94,12.33,0.134,3.9
Service Line-06,104,9905.89,17.82,0.051,4.51
Service Line-03,411,11628.25,12.01,0.222,3.72
Service Line-02,263,4603.05,17.41,0.043,4.36
Service Line-07,456,11954.32,20.58,0.161,3.93
Service Line-04,137,13570.62,34.01,0.207,3.62
Service Line-03,94,7218.06,18.14,0.151,3.43
Service Line-01,118,5843.45,20.65,0.185,2.98
Service Line-01,327,3617.01,24.45,0.089,4.74
Service Line-01,242,9215.28,11.83,0.046,3.89
Service Line-01,469,10380.85,14.47,0.065,4.27
Service Line-01,246,4553.48,30.34,0.163,3.27
Service Line-05,174,14549.63,22.27,0.196,3.85
Service Line-02,29,2666.32,23.96,0.198,4.84
Service Line-07,380,3313.74,26.46,0.0,4.4
Service Line-03,305,24490.67,2.85,0.122,3.78
Service Line-05,152,5804.67,21.12,0.121,4.23
Service Line-02,445,9198.1,19.72,0.064,3.99
Service Line-07,279,23696.18,8.16,0.098,3.96
Service Line-07,372,18231.82,27.74,0.207,4.06
Service Line-01,74,12790.06,19.15,0.089,4.27
Service Line-05,336,10621.06,27.07,0.062,3.26
Service Line-06,426,5451.34,7.88,0.147,4.2
Service Line-01,493,15684.46,10.76,0.059,4.49
Service Line-07,282,4793.53,35.21,0.153,4.29
Service Line-02,471,6763.19,17.28,0.043,3.85
Service Line-04,443,7287.31,21.81,0.112,3.71
Service Line-06,115,3965.18,25.56,0.152,3.68
Service Line-05,83,6048.63,14.96,0.049,3.7
Service Line-08,335,12384.13,34.249500000000005,0.189,4.31
Service Line-06,407,4573.8,11.76,0.165,3.61
Service Line-07,245,3445.21,27.28,0.041,4.0
Service Line-02,106,10153.41,12.64,0.043,4.59
Service Line-01,281,8546.78,21.07,0.092,4.36
Service Line-07,30,3592.06,19.13,0.112,3.68
Service Line-07,360,9798.02,34.72,0.061,4.5
Service Line-02,241,4904.94,9.4,0.098,4.18
Service Line-02,31,3029.33,10.47,0.096,3.42
Service Line-08,131,5962.76,21.627000000000002,0.117,3.6100000000000003
Service Line-04,157,4058.33,25.99,0.009,3.62
Service Line-03,376,5582.77,20.48,0.137,3.83
Service Line-02,198,6450.0,26.55,0.056,4.48
Service Line-08,402,6767.96,21.114,0.265,3.07
Service Line-07,31,12160.85,17.1,0.117,3.75
Service Line-07,395,12135.43,16.94,0.189,3.89
Service Line-02,214,14520.0,17.66,0.122,4.56
Service Line-01,324,14431.71,25.33,0.201,3.95
Service Line-05,68,10402.97,15.72,0.104,4.12
Service Line-08,92,7258.26,23.5305,0.317,4.23
Service Line-04,494,5712.14,22.12,0.0,4.15
Service Line-08,407,2903.23,33.939,0.307,3.79
Service Line-02,491,16346.46,10.56,0.201,4.24
Service Line-02,171,4074.21,21.14,0.128,3.31
Service Line-08,366,18442.38,25.704,0.32,3.25
Service Line-03,53,5147.44,16.44,0.231,4.22
Service Line-05,114,11023.96,33.5,0.152,3.39
Service Line-05,51,20757.4,11.57,0.091,4.02
Service Line-04,457,14372.11,6.79,0.126,2.94
Service Line-01,43,17125.0,20.09,0.233,3.84
Service Line-04,144,10798.93,23.46,0.125,4.25
Service Line-01,186,15860.24,8.9,0.0,4.57
Service Line-02,113,9393.33,26.18,0.0,4.5
Service Line-04,24,5637.24,18.97,0.007,4.0
Service Line-03,28,15583.88,10.67,0.086,4.06
Service Line-03,133,8979.93,22.22,0.079,3.86
Service Line-07,372,5564.52,1.0,0.079,4.29
Service Line-07,338,5700.51,26.72,0.126,2.84
Service Line-07,393,6680.38,14.78,0.196,5.0
