Line,Product,Units,Defect_Rate,Downtime_Hours,Scrap_Cost
Line-05,Product-05,97,0.128,33.95,1211.66
Line-04,Product-08,238,0.148,14.49,1937.38
Line-03,Product-04,425,0.277,20.97,2126.59
Line-03,Product-04,70,0.095,24.67,1062.19
Line-07,Product-01,279,0.098,11.23,2541.3
Line-03,Product-05,159,0.06,20.69,1746.04
Line-06,Product-06,33,0.052,26.55,1027.9
Line-08,Product-02,157,0.278,17.4285,1259.24
Line-03,Product-08,481,0.147,22.13,2193.26
Line-06,Product-03,187,0.306,17.87,990.98
Line-05,Product-01,233,0.105,32.3,1832.2
Line-07,Product-07,119,0.186,22.25,1534.48
Line-02,Product-01,385,0.048,32.48,3879.49
Line-03,Product-08,229,0.091,18.7,1260.67
Line-06,Product-07,473,0.132,25.16,1892.5
Line-06,Product-01,124,0.089,24.99,2106.8
Line-01,Product-02,61,0.11,21.53,764.58
Line-04,Product-06,421,0.012,18.48,1496.23
Line-06,Product-03,424,0.078,20.4,2145.95
Line-08,Product-08,303,0.175,23.112000000000002,2334.5
Line-08,Product-06,323,0.266,25.056,2433.26
Line-01,Product-07,447,0.056,2.35,4945.21
Line-07,Product-02,423,0.148,13.58,2100.64
Line-03,Product-06,113,0.027,17.84,2956.1
Line-05,Product-08,402,0.077,20.28,1747.19
Line-02,Product-05,198,0.107,25.2,3749.58
Line-06,Product-01,394,0.153,19.36,821.12
Line-08,Product-08,413,0.193,13.1895,2131.28
Line-08,Product-03,179,0.242,25.407000000000004,1842.34
Line-07,Product-03,444,0.16,12.92,1397.37
Line-08,Product-08,271,0.126,32.953500000000005,1195.56
Line-07,Product-07,273,0.235,9.95,1660.21
Line-07,Product-07,298,0.102,9.25,1650.06
Line-06,Product-04,451,0.149,20.54,1650.77
Line-02,Product-05,69,0.154,10.45,624.26
Line-07,Product-07,57,0.037,10.64,3888.68
Line-04,Product-02,64,0.182,27.91,4759.8
Line-01,Product-02,64,0.145,8.04,3305.31
Line-02,Product-01,406,0.01,15.57,2331.55
Line-03,Product-04,269,0.0,15.21,1527.57
Line-07,Product-02,293,0.176,20.55,1227.55
Line-05,Product-08,414,0.1,20.77,2035.24
Line-06,Product-07,348,0.03,26.63,3578.39
Line-03,Product-02,145,0.155,19.61,1598.12
Line-08,Product-04,224,0.21100000000000002,20.844,1997.53
Line-04,Product-03,407,0.095,28.0,2092.93
Line-06,Product-03,180,0.178,5.86,933.99
Line-08,Product-02,496,0.278,27.891000000000002,1664.1
Line-06,Product-04,190,0.051,31.12,2471.25
Line-06,Product-05,403,0.169,24.95,2378.4
Line-06,Product-07,369,0.182,24.03,1256.05
Line-05,Product-01,382,0.152,17.49,2327.31
Line-07,Product-07,229,0.091,3.51,1090.38
Line-06,Product-04,256,0.139,23.65,3163.69
Line-01,Product-02,77,0.014,18.05,4409.09
Line-02,Product-06,85,0.016,8.58,1726.73
Line-05,Product-02,105,0.038,9.31,4010.03
Line-07,Product-06,112,0.051,17.07,1132.83
