Segment,Accounts,ARR,Health_Score,Renewal_Rate,Ticket_Rate
Core,65,6069.82,75.6,0.245,0.162
HighValue,133,3245.95,51.6,0.118,0.238
Core,365,4270.67,79.3,0.117,0.111
Core,335,22841.97,71.6,0.123,0.0
HighValue,238,8246.74,67.7,0.164,0.099
Core,417,5608.03,44.8,0.199,0.242
HighValue,22,4546.97,83.9,0.161,0.153
HighValue,254,8613.87,95.3,0.115,0.102
Core,111,7689.61,80.5,0.098,0.0
Core,116,11294.21,82.3,0.056,0.075
Core,213,6002.04,97.9,0.158,0.164
Core,401,12613.12,58.6,0.129,0.087
HighValue,226,8180.49,76.5,0.219,0.08
HighValue,441,4565.93,56.1,0.085,0.157
HighValue,125,9612.16,76.0,0.16,0.212
HighValue,438,2525.53,85.6,0.108,0.195
HighValue,232,13550.64,88.1,0.097,0.296
Core,30,11053.69,76.2,0.125,0.075
Core,86,5413.47,69.3,0.175,0.135
HighValue,473,7528.1,74.4,0.128,0.167
New,450,8539.42,52.0,0.0010000000000000009,0.254
Core,261,6152.05,83.8,0.17,0.175
New,358,9901.68,91.5,0.03899999999999999,0.14600000000000002
Core,109,10428.86,52.0,0.0,0.055
HighValue,109,10652.83,65.5,0.099,0.104
HighValue,244,6853.16,52.3,0.07,0.051
New,241,6646.83,71.5,0.044,0.265
New,466,6371.27,72.9,0.0,0.227
Core,272,6964.1,60.1,0.171,0.243
Core,482,5596.44,52.0,0.092,0.164
New,393,7499.44,66.8,0.03799999999999999,0.249
Core,135,9114.93,71.4,0.16,0.164
Core,104,7493.51,66.9,0.226,0.161
Core,26,6060.73,67.9,0.068,0.177
Core,154,16993.34,87.0,0.062,0.164
HighValue,131,6804.19,78.1,0.0,0.062
Core,371,12773.05,82.2,0.054,0.018
HighValue,107,8954.35,85.8,0.052,0.138
Core,70,29371.98,67.1,0.181,0.099
Core,446,6937.63,89.0,0.16,0.168
New,22,7773.44,72.6,0.041999999999999996,0.20800000000000002
HighValue,220,9982.6,65.7,0.221,0.085
New,207,10468.51,75.2,0.052000000000000005,0.271
Core,34,7848.34,66.9,0.0,0.104
Core,76,6019.19,71.3,0.1,0.103
HighValue,141,4386.02,68.7,0.11,0.096
HighValue,211,19946.53,73.6,0.137,0.161
New,216,10657.5,75.9,0.06999999999999999,0.319
HighValue,287,6023.9,87.6,0.236,0.124
New,286,2287.01,69.0,0.084,0.33499999999999996
New,83,7110.11,71.5,0.035,0.173
HighValue,239,5452.33,72.8,0.067,0.081
HighValue,114,8271.23,52.5,0.184,0.198
Core,365,4663.6,80.5,0.148,0.066
HighValue,189,10931.53,65.6,0.179,0.122
HighValue,33,9145.55,89.2,0.126,0.017
New,448,4764.25,68.1,0.03,0.23900000000000002
Core,223,10548.12,50.0,0.058,0.172
HighValue,271,12100.29,25.9,0.041,0.091
Core,257,9266.55,71.7,0.164,0.124
Core,355,4317.85,69.0,0.129,0.045
New,491,2969.54,44.3,0.0,0.399
Core,154,11157.39,93.8,0.006,0.207
Core,267,5379.51,68.6,0.145,0.207
Core,446,6246.57,65.7,0.085,0.0
HighValue,128,6516.15,77.3,0.111,0.101
HighValue,474,4159.85,77.7,0.0,0.0
HighValue,71,13190.61,72.1,0.145,0.145
Core,385,4765.24,81.7,0.245,0.139
New,175,3564.15,73.1,0.173,0.23800000000000002
New,278,6325.19,64.1,0.0,0.19
HighValue,34,8857.19,65.1,0.207,0.232
HighValue,96,6939.35,72.4,0.072,0.119
Core,195,11733.6,78.9,0.258,0.128
HighValue,410,4905.32,66.9,0.118,0.16
