Date,Region,Branch,Product,Category,Customer_Segment,Quantity,Discount,Sales,Cost,Profit
2026-05-18,North,B12,P-D,Food,VIP,7,0.006,2781.8,1902.95,878.85
2026-05-31,Central,B12,P-A,Home,New,7,0.101,5036.0,3473.3,1562.71
2026-05-16,North,B07,P-E,Sports,New,6,0.029,6029.29,3788.71,2240.58
2026-06-11,South,B12,P-D,Food,Returning,7,0.037,2374.22,1675.82,698.4
2026-02-13,Central,B12,P-D,Food,New,6,0.034,1842.34,1297.38,544.96
2026-06-28,East,B05,P-A,Home,New,4,0.068,3305.88,2199.8,1106.08
2026-06-19,South,B01,P-E,Sports,Returning,1,0.124,1190.42,829.21,361.21
2026-06-25,Central,B04,P-D,Food,New,3,0.047,1096.41,782.43,313.98
2026-06-16,Central,B12,P-E,Sports,Returning,2,0.037,2583.81,1636.69,947.12
2026-01-30,South,B09,P-C,Beauty,Returning,2,0.085,1072.06,644.25,427.81
2026-01-14,Central,B08,P-B,Electronics,New,6,0.067,11234.29,8787.07,2447.22
2026-04-07,South,B11,P-C,Beauty,Returning,3,0.044,2050.26,1179.78,870.48
2026-05-03,South,B06,P-D,Food,Returning,4,0.118,1115.73,859.97,255.76
2026-02-20,Central,B06,P-E,Sports,New,3,0.129,3040.21,2130.27,909.94
2026-05-21,Central,B03,P-B,Electronics,Returning,4,0.144,6767.16,5769.27,997.89
2026-05-09,North,B07,P-A,Home,New,4,0.121,3394.4,2394.43,999.97
2026-05-28,Central,B08,P-A,Home,VIP,5,0.014,4349.12,2735.45,1613.67
2026-03-29,South,B12,P-E,Sports,Returning,2,0.008,2215.54,1362.17,853.37
2026-06-01,South,B10,P-D,Food,New,2,0.002,701.08,477.6,223.48
2026-04-23,Central,B09,P-D,Food,VIP,7,0.056,2459.79,1772.72,687.07
2026-06-14,South,B08,P-B,Electronics,Returning,3,0.149,4823.93,4593.55,230.38
2026-06-06,South,B01,P-B,Electronics,Returning,2,0.16,3147.75,3035.25,112.5
2026-01-12,Central,B08,P-A,Home,VIP,7,0.073,5725.84,3828.92,1896.92
2026-04-17,East,B01,P-D,Food,Returning,1,0.045,318.3,226.55,91.76
2026-02-19,Central,B12,P-E,Sports,Returning,5,0.073,5893.44,3876.97,2016.47
2026-05-31,East,B03,P-D,Food,Returning,5,0.066,1564.09,1139.21,424.87
2026-06-18,East,B07,P-E,Sports,Returning,2,0.072,2306.45,1516.14,790.31
2026-04-17,South,B06,P-A,Home,Returning,1,0.061,930.25,614.03,316.22
2026-03-23,South,B11,P-C,Beauty,Returning,6,0.032,4055.58,2303.47,1752.11
2026-03-14,Central,B07,P-A,Home,New,4,0.06,3651.46,2408.72,1242.75
2026-01-23,North,B06,P-E,Sports,Returning,7,0.009,9414.82,5796.44,3618.38
2026-03-17,Central,B04,P-D,Food,Returning,3,0.145,805.4300000000001,640.22,165.21
2026-03-26,East,B05,P-C,Beauty,Returning,7,0.026,4113.6,2321.79,1791.8100000000004
2026-04-21,South,B02,P-A,Home,New,6,0.147,5203.04,3781.28,1421.75
2026-02-15,North,B01,P-D,Food,New,3,0.052,948.44,680.09,268.35
2026-06-09,South,B12,P-E,Sports,Returning,6,0.089,6229.78,4172.48,2057.29
2026-06-13,South,B11,P-B,Electronics,New,4,0.194,7025.54,7060.39,-34.85
2026-01-06,South,B09,P-B,Electronics,New,2,0.178,3788.5,3734.23,54.27
2026-06-23,East,B02,P-B,Electronics,Returning,2,0.133,3402.85,2865.23,537.62
2026-01-27,North,B10,P-D,Food,Returning,3,0.096,967.38,727.56,239.83
2026-01-02,East,B09,P-D,Food,Returning,5,0.046,1851.56,1320.27,531.29
2026-03-26,Central,B01,P-C,Beauty,New,4,0.016,2530.67,1413.84,1116.83
2026-06-12,Central,B04,P-D,Food,New,7,0.091,2442.19,1826.81,615.38
2026-05-25,North,B02,P-C,Beauty,Returning,4,0.101,2147.31,1314.01,833.3
2026-06-14,South,B01,P-B,Electronics,New,3,0.201,5270.1,5345.84,-75.74
2026-06-26,South,B10,P-E,Sports,Returning,2,0.137,2312.05,1634.03,678.02
2026-01-06,North,B07,P-E,Sports,New,1,0.022,1110.5,692.87,417.64
2026-01-02,Central,B06,P-B,Electronics,Returning,2,0.091,3781.71,3038.21,743.5
2026-05-07,Central,B07,P-A,Home,Returning,6,0.077,5163.03,3468.08,1694.96
2026-03-26,Central,B02,P-C,Beauty,New,5,0.018,3198.26,1790.49,1407.77
2026-05-13,Central,B08,P-C,Beauty,New,7,0.215,3248.45,2274.9,973.56
2026-02-18,Central,B09,P-E,Sports,New,5,0.064,6106.02,3980.18,2125.84
2026-06-12,Central,B01,P-A,Home,Returning,4,0.0,3633.38,2252.7,1380.68
2026-03-19,North,B12,P-E,Sports,Returning,2,0.106,2270.16,1549.05,721.11
2026-04-20,South,B01,P-B,Electronics,Returning,2,0.228,3813.77,4003.13,-189.36
2026-03-05,East,B05,P-B,Electronics,Returning,7,2.5,12768.7,10125.92,2642.77
2026-01-31,Central,B02,P-D,Food,Returning,3,0.05,1105.97,791.74,314.23
2026-03-11,Central,B01,P-B,Electronics,New,2,0.174,3180.62,2812.45,368.17
2026-01-12,South,B08,P-E,Sports,Returning,5,0.066,6218.57,4063.48,2155.1
2026-04-30,East,B03,P-E,Sports,Returning,4,0.147,4574.98,3273.28,1301.7
2026-01-24,Central,B08,P-A,Home,Returning,7,0.014,5329.38,3350.49,1978.89
2026-03-12,East,B12,P-A,Home,New,1,0.057,959.89,631.04,328.85
2026-02-24,East,B11,P-D,Food,VIP,2,0.037,705.63,498.25,207.39
2026-05-03,South,B12,P-B,Electronics,Returning,7,0.134,11718.46,10959.05,759.41
2026-05-04,East,B01,P-D,Food,New,6,0.091,1981.11,1482.63,498.47
2026-01-31,North,B03,P-B,Electronics,Returning,3,0.148,5433.49,4653.07,780.42
2026-05-29,Central,B12,P-A,Home,Returning,1,0.159,803.57,592.33,211.24
2026-02-08,North,B08,P-D,Food,Returning,1,0.063,332.03,241.04,90.98
2026-03-12,Central,B09,P-C,Beauty,New,7,0.097,4450.33,2711.74,1738.59
2026-04-11,Central,B07,P-E,Sports,Returning,3,0.057,3210.84,2076.59,1134.24
2026-05-12,East,B12,P-C,Beauty,VIP,3,0.013,2140.24,1192.62,947.62
2026-01-27,Central,B02,P-B,Electronics,Returning,5,0.092,9827.28,7898.05,1929.23
2026-02-07,Central,B02,P-B,Electronics,Returning,7,0.088,13612.13,10901.21,2710.92
2026-03-21,Central,B02,P-D,Food,Returning,1,0.084,312.98,232.29,80.7
2026-05-03,Central,B12,P-B,Electronics,New,1,0.111,1783.37,1463.82,319.56
2026-06-17,North,B11,P-E,Sports,New,5,0.073,5366.02,3531.41,1834.61
2026-03-06,South,B03,P-A,Home,Returning,6,0.111,4755.62,3317.86,1437.76
2026-02-23,East,B08,P-C,Beauty,New,-2,0.106,2769.29,1704.37,1064.92
2026-04-17,Central,B07,P-B,Electronics,Returning,7,0.044,13319.54,10175.81,3143.73
