Month,Campaign,Channel,Customer_Segment,Spend,Impressions,Clicks,Conversions,Revenue,CTR,Conversion_Rate,ROAS
2026-04-01,CMP-15,Social,HighValue,8465.17,718409,24404,912,1785836.27,0.03396950762031099,0.03737092279954106,210.9628359501345
2026-02-01,CMP-14,Affiliate,Returning,6735.08,506303,13161,698,722345.27,0.02599431565683,0.0530354836258643,107.25117890210659
2026-02-01,CMP-03,Email,New,11487.27,551056,37677,2355,1961266.93,0.06837236142969136,0.0625049765108687,170.73394548922414
2026-07-01,CMP-09,Affiliate,Returning,5547.67,377716,15912,926,934778.4,0.042126888985375255,0.058195072900955255,168.49927987785864
2026-01-01,CMP-11,Search,New,12800.06,614389,30983,1880,1610099.72,0.050428962758122295,0.060678436561985606,125.78845099163598
2025-11-01,CMP-06,Search,New,5761.44,304300,13078,993,950909.64,0.04297732500821558,0.07592904113778866,165.0472173623261
2026-07-01,CMP-18,Email,New,9403.27,739985,44926,4893,4789833.43,0.06071204146029987,0.10891243377999377,509.37954881652865
2025-12-01,CMP-08,Affiliate,Returning,9885.77,477139,22134,1528,1670284.21,0.04638899775537108,0.06903406523899883,168.95843318224073
2026-01-01,CMP-10,Social,Returning,3929.11,281432,7408,242,245959.02,0.02632252195912334,0.03266738660907127,62.59916876849973
2025-12-01,CMP-15,Display,New,11550.47,711799,6782,148,125127.74,0.009527970677115308,0.02182247124741964,10.833129734114717
2026-01-01,CMP-04,Email,Returning,2680.73,239334,15893,1653,1727565.83,0.06640510750666433,0.10400805386019002,644.4385782977025
2025-12-01,CMP-15,Email,New,13462.48,661033,43123,2590,2250011.08,0.06523577491592704,0.06006075644087842,167.13199053963314
2026-06-01,CMP-17,Affiliate,New,10872.39,579594,21864,1403,1400735.85,0.03772295779459415,0.06416941090376875,128.83421676374746
2025-10-01,CMP-08,Social,Returning,5691.2,356416,10433,377,453872.03,0.02927197432214042,0.03613533978721365,79.7497944194546
2026-07-01,CMP-06,Affiliate,Returning,11328.04,757468,23263,980,1109679.64,0.030711528407800726,0.04212698276232644,97.9586618691318
2025-10-01,CMP-06,Display,HighValue,9472.89,447695,8076,240,403987.29,0.018039066775371627,0.029717682020802376,42.646678046509564
2026-04-01,CMP-14,Affiliate,New,2187.88,124325,2032,104,98534.23,0.0163442589985924,0.051181102362204724,45.036395963215526
2026-01-01,CMP-12,Social,Returning,9043.39,673061,23261,816,991500.28,0.0345600175912733,0.035080177120502126,109.63812021819253
2026-08-01,CMP-12,Social,HighValue,14173.81,675378,23117,753,1441596.51,0.0342282395932352,0.03257343080849591,101.70846864745612
2025-12-01,CMP-04,Affiliate,Returning,13926.85,856538,31057,1277,1212525.33,0.03625875326021729,0.041117944424767364,87.06386081561875
2026-05-01,CMP-10,Affiliate,Returning,8275.64,607196,21503,854,1100826.85,0.03541360615023814,0.03971538855043482,133.02014708228006
2026-06-01,CMP-05,Display,New,7877.77,488937,5369,116,117718.41,0.010980964827779448,0.02160551313093686,14.943113342989196
2026-01-01,CMP-07,Email,New,4749.87,256321,15941,1262,971017.06,0.06219154887816449,0.07916692804717396,204.4302391433871
2025-12-01,CMP-12,Social,New,10251.07,821409,20400,878,684425.12,0.024835374338484238,0.04303921568627451,66.76621269779643
2026-09-01,CMP-16,Display,HighValue,8975.4,448586,3258,106,171713.08,0.007262821398795326,0.032535297728667895,19.131523943222586
2025-10-01,CMP-03,Social,Returning,7703.31,424742,10035,343,321969.52,0.023626107142688972,0.03418036870951669,41.79625641445041
2026-08-01,CMP-04,Display,Returning,4580.81,371688,5855,149,151287.03,0.015752459051677752,0.025448334756618275,33.0262617310039
2026-03-01,CMP-13,Affiliate,HighValue,4162.18,338703,7096,650,1176631.99,0.020950508262400983,0.09160090191657272,282.69608474405237
2025-12-01,CMP-16,Search,New,2919.07,192536,5866,327,304835.95,0.030467029542527113,0.05574497101943403,104.42913325134374
2025-12-01,CMP-08,Display,HighValue,15685.98,922883,12659,337,545666.36,0.013716798337384045,0.02662137609605814,34.7868835737391
2026-05-01,CMP-15,Email,New,5564.54,412991,23635,1859,1861347.8,0.057228850023366126,0.07865453776179394,334.5016479349596
2025-11-01,CMP-20,Social,New,2490.41,135291,4643,262,224532.07,0.03431861690725917,0.05642903295283222,90.15867668375891
2026-05-01,CMP-12,Display,HighValue,13558.56,836294,10630,140,305198.64,0.01271084092436392,0.01317027281279398,22.509664743158567
2026-07-01,CMP-16,Search,New,14456.38,1200859,51082,2316,1916464.83,0.042537883298538796,0.04533886691985435,132.56879177221407
2026-08-01,CMP-16,Email,New,3016.74,205155,17550,2054,1586909.92,0.08554507567449002,0.11703703703703704,526.0346997089574
2026-03-01,CMP-13,Display,New,15577.24,991456,9683,190,171240.3,0.00976644450182358,0.019622017969637508,10.992980784786008
2025-10-01,CMP-15,Email,HighValue,14971.34,1188238,128527,19009,37593031.54,0.10816604081000608,0.14789888505917045,2510.9997862582773
2025-10-01,CMP-10,Affiliate,New,9484.74,670208,12991,822,783695.14,0.019383534663865547,0.0632745747055654,82.6269502379612
2026-04-01,CMP-13,Email,New,10175.33,808944,42230,2558,2027283.81,0.05220386083585514,0.06057305233246507,199.23519040660108
2025-11-01,CMP-05,Affiliate,New,9843.29,856786,31204,2196,1803783.18,0.036419829455663376,0.07037559287270863,183.25002920771408
2026-09-01,CMP-13,Search,New,11682.36,1050943,60521,3010,2310116.7,0.05758732871335553,0.0497348027957238,197.7440089160067
2026-02-01,CMP-03,Affiliate,HighValue,13841.32,1057741,51094,4711,8174800.03,0.048304830766699974,0.0922026069597213,590.6084123479553
2026-01-01,CMP-05,Email,HighValue,8002.86,500218,38789,3884,7739850.86,0.07754419073284048,0.10013148057438964,967.135606520669
2026-07-01,CMP-15,Social,New,3517.47,281154,6534,191,176761.9,0.023239932563648393,0.029231711049892868,50.252567896812195
2026-01-01,CMP-05,Search,New,11916.92,571401,20514,947,865811.57,0.035901232234455314,0.046163595593253386,72.65397183164777
2026-05-01,CMP-14,Social,Returning,11822.08,944389,28217,851,811057.0,0.029878577577671914,0.03015912393238119,68.60527081528801
