Branch,Customer_Segment,Orders,Revenue,Profit,Rating,Repeat_Purchase_Rate,Complaint_Rate,Service_Time_Min
Branch-07,Regular,206,107949.42,23879.63,4.01,0.254,0.078,11.65
Branch-07,Regular,50,24502.64,4653.12,3.73,0.356,0.073,11.47
Branch-04,Premium,171,139967.77,37632.08,4.25,0.346,0.068,8.64
Branch-08,Premium,42,33734.16,6207.15,3.78,0.276,0.055,7.38
Branch-05,Premium,118,105575.59,20952.87,4.2,0.369,0.005,7.58
Branch-02,Premium,86,72287.13,20607.13,4.0,0.291,0.055,10.22
Branch-11,New,216,83223.18,12478.53,2.96,0.297,0.095,14.23
Branch-11,New,161,64226.73,14810.38,3.38,0.288,0.11,11.58
Branch-08,Premium,131,111893.33,24856.18,3.59,0.315,0.038,8.68
Branch-04,Regular,181,93184.73,17523.61,3.79,0.342,0.009,7.45
Branch-08,New,114,43735.19,12684.48,4.37,0.244,0.029,9.0
Branch-06,Premium,56,50011.14,10059.04,3.88,0.287,0.029,8.91
Branch-09,New,208,90009.17,18989.36,4.15,0.312,0.06,11.46
Branch-12,New,49,19764.45,4309.64,3.66,0.491,0.069,7.08
Branch-02,New,235,100242.12,23995.09,3.92,0.36,0.031,6.4
Branch-09,New,216,95443.87,27090.7,4.51,0.395,0.058,6.26
Branch-01,Regular,251,134786.48,27750.82,4.44,0.35,0.021,8.95
Branch-02,Regular,76,37358.8,11298.12,4.01,0.494,0.022,7.32
Branch-07,Premium,113,90783.45,19440.47,3.58,0.154,0.085,14.16
Branch-11,New,104,39931.51,8650.73,3.4,0.314,0.069,15.24
Branch-10,Regular,168,86964.94,19161.46,4.06,0.304,0.047,7.09
Branch-08,Regular,86,46366.15,12123.19,3.78,0.438,0.026,4.93
Branch-04,Regular,203,111942.58,29739.02,4.46,0.397,0.033,9.78
Branch-12,Regular,85,45867.9,14382.66,4.03,0.304,0.039,5.2
Branch-07,Regular,118,62805.8,12855.64,3.6,0.28,0.091,14.21
Branch-09,New,71,30895.98,7511.64,3.85,0.284,0.067,8.51
Branch-08,New,70,31688.97,8811.03,4.31,0.46,0.053,7.1
Branch-02,Regular,258,145633.14,30977.59,3.94,0.315,0.042,8.97
Branch-08,New,237,96905.56,26752.32,3.4,0.226,0.035,8.7
Branch-09,New,193,83098.42,20143.51,4.04,0.334,0.014,6.46
Branch-03,Regular,259,133160.92,27348.03,3.41,0.145,0.079,10.72
Branch-06,New,64,24198.5,7075.87,4.53,0.368,0.025,5.99
Branch-01,Regular,196,98530.62,20312.04,4.0,0.269,0.011,6.16
Branch-04,Regular,121,64920.57,20469.67,3.97,0.258,0.057,7.88
Branch-12,New,106,45161.51,13541.16,3.95,0.217,0.041,8.83
Branch-10,New,180,81628.19,18787.58,4.31,0.419,0.046,6.77
Branch-03,Regular,146,81042.32,19020.75,3.86,0.113,0.1,9.91
Branch-01,Premium,190,152800.34,37941.03,4.29,0.46,0.048,6.02
Branch-06,Regular,236,118029.94,33701.71,3.56,0.308,0.049,9.02
Branch-02,New,213,93226.72,19246.6,3.89,0.318,0.077,12.32
Branch-07,Regular,45,23523.82,6187.2,4.26,0.26,0.066,12.28
Branch-10,New,127,57079.78,17292.75,4.04,0.418,0.054,7.22
Branch-11,Premium,224,178989.77,43211.44,3.72,0.222,0.076,12.74
Branch-09,New,183,76639.37,23203.96,4.02,0.364,0.036,6.86
Branch-01,New,106,41685.24,12975.54,4.47,0.418,0.028,9.02
Branch-02,New,93,36477.25,10688.33,4.38,0.371,0.04,10.11
Branch-11,New,41,17288.32,2846.39,3.42,0.121,0.056,8.01
Branch-10,New,74,30707.22,6578.95,4.23,0.376,0.058,8.95
Branch-03,New,167,76418.34,18747.63,3.71,0.113,0.065,14.82
Branch-07,Regular,133,75932.1,20356.71,3.38,0.223,0.118,12.24
Branch-09,New,210,90660.8,26518.03,4.42,0.375,0.005,4.59
Branch-04,Regular,113,58944.02,10835.74,4.04,0.377,0.064,4.83
Branch-02,New,232,91706.56,18622.8,4.35,0.25,0.023,3.37
Branch-10,Regular,228,123950.91,38559.73,3.86,0.36,0.05,5.92
Branch-09,Regular,200,113101.4,34883.62,4.23,0.413,0.036,9.79
Branch-02,Regular,96,50843.52,14473.52,3.39,0.386,0.031,9.19
Branch-03,Regular,67,31580.57,3780.81,3.62,0.326,0.069,10.17
Branch-05,Regular,179,96275.34,25623.42,4.39,0.277,0.047,6.66
Branch-03,Regular,95,47331.16,11884.25,3.59,0.255,0.077,12.23
Branch-01,New,254,108972.06,34740.29,4.37,0.2,0.03,7.71
Branch-12,New,216,94220.92,19021.21,4.12,0.539,0.024,10.82
Branch-01,Regular,61,30351.16,8587.29,3.75,0.248,0.041,7.26
Branch-12,New,195,80622.89,22401.32,4.21,0.401,0.056,6.31
Branch-03,Regular,52,29397.08,5310.39,3.78,0.084,0.104,14.06
Branch-12,Regular,175,88931.93,22591.13,4.03,0.352,0.071,7.75
Branch-07,Regular,42,20759.77,4373.39,4.03,0.116,0.081,14.7
Branch-11,New,170,71936.58,8022.8,3.62,0.163,0.09,12.51
Branch-05,Regular,219,104052.14,22026.81,4.07,0.356,0.042,10.21
Branch-01,New,192,83781.08,20081.5,4.13,0.247,0.046,10.56
Branch-07,New,180,71383.66,12980.13,3.32,0.148,0.075,13.71
Branch-01,Regular,140,70075.96,12860.12,4.06,0.374,0.045,9.7
Branch-12,New,189,72296.81,17139.46,3.61,0.307,0.062,7.09
Branch-06,New,87,34285.66,7501.72,4.01,0.399,0.042,11.4
Branch-11,New,118,47034.9,10260.36,3.63,0.281,0.109,11.0
Branch-05,Premium,84,70762.92,16688.54,3.29,0.421,0.041,10.27
Branch-02,Regular,121,57237.38,12965.88,4.01,0.412,0.107,9.89
Branch-04,New,213,94955.13,21459.12,4.68,0.359,0.053,5.48
Branch-06,Premium,67,52004.12,13852.29,4.18,0.297,0.045,8.85
Branch-03,Regular,149,84686.02,17597.97,3.74,0.275,0.064,11.92
Branch-07,New,200,79797.76,14037.91,3.63,0.2,0.076,11.76
Branch-12,Premium,162,145150.86,34687.01,4.07,0.302,0.052,11.54
Branch-09,Regular,171,94831.05,25291.84,3.89,0.354,0.054,9.07
Branch-10,New,64,24487.36,4590.94,4.27,0.395,0.051,4.36
Branch-04,Regular,192,103256.77,19000.23,4.1,0.504,0.045,8.4
Branch-08,New,168,67769.29,20761.21,3.63,0.548,0.041,11.15
Branch-02,Regular,148,73445.43,15476.73,4.39,0.362,0.067,9.62
Branch-03,New,164,68144.79,12722.6,3.62,0.333,0.08,8.96
Branch-09,Regular,139,76077.24,17081.0,3.72,0.276,0.049,10.41
Branch-11,New,91,39924.74,5673.39,4.49,0.345,0.098,8.42
Branch-05,Regular,55,29769.3,8308.64,4.39,0.39,0.047,5.64
Branch-04,Premium,244,213385.78,46448.65,3.92,0.21,0.07,6.11
Branch-01,Regular,110,60709.59,12984.36,4.17,0.309,0.065,5.96
Branch-09,New,194,83800.36,18502.31,4.41,0.318,0.037,10.37
Branch-09,Regular,180,90467.59,27264.93,3.94,0.307,0.028,11.03
Branch-01,New,231,104200.6,24040.68,4.63,0.375,0.032,7.92
Branch-09,Regular,42,21577.25,4740.66,4.47,0.29,0.086,7.24
Branch-05,Regular,96,46064.06,13525.38,4.67,0.404,0.053,7.52
Branch-04,Regular,64,32844.08,9717.43,4.17,0.224,0.06,9.7
Branch-12,Premium,40,33186.83,7130.65,4.11,0.348,0.039,10.13
Branch-02,Regular,208,103400.47,19872.31,4.03,0.325,0.068,6.18
Branch-04,Regular,95,49950.77,12772.22,4.52,0.373,0.025,13.37
Branch-10,New,56,23050.93,5135.42,4.77,0.328,0.078,6.47
Branch-11,Regular,151,71896.08,17018.53,3.13,0.324,0.047,13.59
Branch-07,New,56,23059.67,5626.03,3.84,0.281,0.094,10.83
Branch-03,New,238,95386.66,18398.26,3.64,0.306,0.089,12.99
Branch-08,New,108,42530.09,13042.38,4.29,0.196,0.034,11.78
Branch-05,New,106,42737.76,12292.05,4.47,0.341,0.027,6.62
Branch-01,New,71,28584.16,5177.17,3.97,0.445,0.062,7.2
Branch-04,Premium,206,187742.36,48262.77,4.1,0.305,0.039,9.23
Branch-05,Regular,63,33337.58,8217.06,4.28,0.282,0.031,5.36
Branch-03,New,232,95704.83,12940.19,3.53,0.31,0.08,11.58
Branch-09,Regular,240,135756.98,24921.43,4.17,0.3,0.046,9.64
Branch-01,Regular,259,121398.71,25869.92,3.97,0.321,0.043,9.61
Branch-02,Regular,53,27909.3,7841.04,4.0,0.425,0.045,9.19
Branch-01,Regular,102,49329.24,9507.89,4.41,0.405,0.034,9.47
Branch-02,Regular,134,62952.83,12612.19,4.46,0.356,0.066,6.66
Branch-07,New,69,26980.43,4900.36,3.66,0.305,0.073,12.72
Branch-06,New,257,110460.37,31898.13,4.53,0.362,0.036,9.51
Branch-06,Regular,254,135289.52,24801.38,4.15,0.419,0.046,6.2
Branch-01,Regular,183,96652.46,23670.98,3.94,0.392,0.078,9.03
Branch-08,New,112,48565.95,12816.84,3.62,0.384,0.042,7.67
Branch-09,Regular,158,82016.59,20798.84,4.1,0.367,0.053,9.45
Branch-10,Regular,161,78316.69,23710.26,3.61,0.358,0.038,9.63
Branch-09,Regular,144,80100.2,15887.46,4.01,0.254,0.051,9.6
Branch-11,Regular,168,94092.51,20967.54,3.35,0.239,0.085,11.58
Branch-05,Regular,113,63403.15,15969.45,3.67,0.379,0.045,10.24
Branch-10,New,97,36914.4,6809.09,4.62,0.336,0.055,6.82
Branch-08,New,219,99663.34,29492.25,4.3,0.372,0.041,12.92
Branch-12,Regular,178,84767.03,16869.34,3.98,0.321,0.046,8.26
Branch-11,New,96,42278.44,6458.57,3.31,0.23,0.108,15.39
Branch-06,Regular,146,82724.12,15548.96,4.3,0.328,0.041,8.54
Branch-06,Regular,193,93512.27,29248.35,4.15,0.527,0.064,3.84
Branch-01,New,40,15992.26,3159.63,4.08,0.321,0.025,6.44
Branch-01,Premium,40,34792.84,10557.37,4.51,0.369,0.041,7.84
Branch-10,Regular,208,100595.39,30013.91,4.18,0.214,0.058,9.44
Branch-09,New,139,54131.47,14476.76,3.59,0.397,0.016,6.57
Branch-08,Regular,98,51733.25,14049.41,4.68,0.402,0.029,12.37
Branch-04,Regular,98,51208.91,15557.89,4.41,0.398,0.051,11.15
Branch-05,Regular,58,27246.97,8087.78,3.96,0.283,0.045,6.99
Branch-02,Regular,232,120131.06,24098.8,4.1,0.388,0.054,8.36
Branch-02,New,113,51382.67,10512.06,4.04,0.412,0.043,8.5
Branch-08,New,205,87489.93,22728.48,4.24,0.309,0.05,5.87
Branch-11,Regular,222,126321.33,26447.67,3.65,0.186,0.117,15.34
Branch-01,Regular,210,114512.25,36076.19,4.01,0.31,0.033,6.97
Branch-07,New,206,87382.77,17915.84,3.56,0.176,0.087,11.12
Branch-02,New,110,45405.42,8851.95,4.09,0.338,0.048,7.16
Branch-10,New,182,79266.67,16614.65,3.92,0.282,0.034,6.87
Branch-06,New,225,103522.4,25021.23,4.37,0.352,0.057,9.7
Branch-11,Regular,92,51772.54,8634.92,3.66,0.237,0.061,8.49
Branch-07,Regular,210,113838.12,24223.49,3.36,0.218,0.117,13.19
